Player Name,Club,Position,Metric,Value
Alejandro Balde,Barcelona,Fullback,NPG,0
Alejandro Balde,Barcelona,Fullback,NPXG,0.5
Alejandro Balde,Barcelona,Fullback,Assists,4
Alejandro Balde,Barcelona,Fullback,Passes attempted,1484
Alejandro Balde,Barcelona,Fullback,Pass Completion,88.0
Alejandro Balde,Barcelona,Fullback,Yellow Cards,2
Alejandro Balde,Barcelona,Fullback,Red Cards,0
Alejandro Balde,Barcelona,Fullback,Progressive carries,107
Alejandro Balde,Barcelona,Fullback,Progressive Passes,93
Alejandro Balde,Barcelona,Fullback,Key passes,26
Alejandro Balde,Barcelona,Fullback,Passes into final third,51
Alejandro Balde,Barcelona,Fullback,Crosses,67
Alejandro Balde,Barcelona,Fullback,Switches,2
Alejandro Balde,Barcelona,Fullback,Through Balls,3
Alejandro Balde,Barcelona,Fullback,Shot creating actions,76
Alejandro Balde,Barcelona,Fullback,Tackles won,10
Alejandro Balde,Barcelona,Fullback,Challenges won,NA
Alejandro Balde,Barcelona,Fullback,Blocks,24
Alejandro Balde,Barcelona,Fullback,Aerials won,16
Alejandro Balde,Barcelona,Fullback,Ball recoveries,122
