Player Name,Club,Position,Metric,Value
Alphonso Davies,Bayern Munich,Fullback,NPG,1
Alphonso Davies,Bayern Munich,Fullback,NPXG,1.2
Alphonso Davies,Bayern Munich,Fullback,Assists,2
Alphonso Davies,Bayern Munich,Fullback,Passes attempted,1272
Alphonso Davies,Bayern Munich,Fullback,Pass Completion,89.7
Alphonso Davies,Bayern Munich,Fullback,Yellow Cards,0
Alphonso Davies,Bayern Munich,Fullback,Red Cards,0
Alphonso Davies,Bayern Munich,Fullback,Progressive carries,81
Alphonso Davies,Bayern Munich,Fullback,Progressive Passes,120
Alphonso Davies,Bayern Munich,Fullback,Key passes,27
Alphonso Davies,Bayern Munich,Fullback,Passes into final third,95
Alphonso Davies,Bayern Munich,Fullback,Crosses,22
Alphonso Davies,Bayern Munich,Fullback,Switches,1
Alphonso Davies,Bayern Munich,Fullback,Through Balls,6
Alphonso Davies,Bayern Munich,Fullback,Shot creating actions,61
Alphonso Davies,Bayern Munich,Fullback,Tackles won,17
Alphonso Davies,Bayern Munich,Fullback,Challenges won,NA
Alphonso Davies,Bayern Munich,Fullback,Blocks,14
Alphonso Davies,Bayern Munich,Fullback,Aerials won,9
Alphonso Davies,Bayern Munich,Fullback,Ball recoveries,115
