Player Name,Club,Position,Metric,Value
Jordi Alba,Inter Miami,Fullback,NPG,NA
Jordi Alba,Inter Miami,Fullback,NPXG,NA
Jordi Alba,Inter Miami,Fullback,Assists,NA
Jordi Alba,Inter Miami,Fullback,Passes attempted,NA
Jordi Alba,Inter Miami,Fullback,Pass Completion,NA
Jordi Alba,Inter Miami,Fullback,Yellow Cards,NA
Jordi Alba,Inter Miami,Fullback,Red Cards,NA
Jordi Alba,Inter Miami,Fullback,Progressive carries,NA
Jordi Alba,Inter Miami,Fullback,Progressive Passes,NA
Jordi Alba,Inter Miami,Fullback,Key passes,NA
Jordi Alba,Inter Miami,Fullback,Passes into final third,NA
Jordi Alba,Inter Miami,Fullback,Crosses,NA
Jordi Alba,Inter Miami,Fullback,Switches,NA
Jordi Alba,Inter Miami,Fullback,Through Balls,NA
Jordi Alba,Inter Miami,Fullback,Shot creating actions,NA
Jordi Alba,Inter Miami,Fullback,Tackles won,NA
Jordi Alba,Inter Miami,Fullback,Challenges won,NA
Jordi Alba,Inter Miami,Fullback,Blocks,NA
Jordi Alba,Inter Miami,Fullback,Aerials won,NA
Jordi Alba,Inter Miami,Fullback,Ball recoveries,NA
