Player Name,Club,Position,Metric,Value
Joško Gvardiol,Manchester City,Fullback,NPG,5
Joško Gvardiol,Manchester City,Fullback,NPXG,4.3
Joško Gvardiol,Manchester City,Fullback,Assists,0
Joško Gvardiol,Manchester City,Fullback,Passes attempted,2721
Joško Gvardiol,Manchester City,Fullback,Pass Completion,90.2
Joško Gvardiol,Manchester City,Fullback,Yellow Cards,2
Joško Gvardiol,Manchester City,Fullback,Red Cards,0
Joško Gvardiol,Manchester City,Fullback,Progressive carries,91
Joško Gvardiol,Manchester City,Fullback,Progressive Passes,264
Joško Gvardiol,Manchester City,Fullback,Key passes,26
Joško Gvardiol,Manchester City,Fullback,Passes into final third,247
Joško Gvardiol,Manchester City,Fullback,Crosses,22
Joško Gvardiol,Manchester City,Fullback,Switches,11
Joško Gvardiol,Manchester City,Fullback,Through Balls,6
Joško Gvardiol,Manchester City,Fullback,Shot creating actions,76
Joško Gvardiol,Manchester City,Fullback,Tackles won,39
Joško Gvardiol,Manchester City,Fullback,Challenges won,NA
Joško Gvardiol,Manchester City,Fullback,Blocks,42
Joško Gvardiol,Manchester City,Fullback,Aerials won,54
Joško Gvardiol,Manchester City,Fullback,Ball recoveries,137
