Player Name,Club,Position,Metric,Value
Lucas Digne,Aston Villa,Fullback,NPG,0
Lucas Digne,Aston Villa,Fullback,NPXG,0.8
Lucas Digne,Aston Villa,Fullback,Assists,4
Lucas Digne,Aston Villa,Fullback,Passes attempted,1277
Lucas Digne,Aston Villa,Fullback,Pass Completion,74.9
Lucas Digne,Aston Villa,Fullback,Yellow Cards,4
Lucas Digne,Aston Villa,Fullback,Red Cards,0
Lucas Digne,Aston Villa,Fullback,Progressive carries,23
Lucas Digne,Aston Villa,Fullback,Progressive Passes,57
Lucas Digne,Aston Villa,Fullback,Key passes,36
Lucas Digne,Aston Villa,Fullback,Passes into final third,44
Lucas Digne,Aston Villa,Fullback,Crosses,140
Lucas Digne,Aston Villa,Fullback,Switches,4
Lucas Digne,Aston Villa,Fullback,Through Balls,2
Lucas Digne,Aston Villa,Fullback,Shot creating actions,66
Lucas Digne,Aston Villa,Fullback,Tackles won,38
Lucas Digne,Aston Villa,Fullback,Challenges won,NA
Lucas Digne,Aston Villa,Fullback,Blocks,23
Lucas Digne,Aston Villa,Fullback,Aerials won,37
Lucas Digne,Aston Villa,Fullback,Ball recoveries,104
