Player Name,Club,Position,Metric,Value
Nuno Mendes,Paris Saint-Germain,Fullback,NPG,1
Nuno Mendes,Paris Saint-Germain,Fullback,NPXG,2.2
Nuno Mendes,Paris Saint-Germain,Fullback,Assists,3
Nuno Mendes,Paris Saint-Germain,Fullback,Passes attempted,1488
Nuno Mendes,Paris Saint-Germain,Fullback,Pass Completion,86.9
Nuno Mendes,Paris Saint-Germain,Fullback,Yellow Cards,3
Nuno Mendes,Paris Saint-Germain,Fullback,Red Cards,0
Nuno Mendes,Paris Saint-Germain,Fullback,Progressive carries,58
Nuno Mendes,Paris Saint-Germain,Fullback,Progressive Passes,127
Nuno Mendes,Paris Saint-Germain,Fullback,Key passes,30
Nuno Mendes,Paris Saint-Germain,Fullback,Passes into final third,119
Nuno Mendes,Paris Saint-Germain,Fullback,Crosses,60
Nuno Mendes,Paris Saint-Germain,Fullback,Switches,25
Nuno Mendes,Paris Saint-Germain,Fullback,Through Balls,3
Nuno Mendes,Paris Saint-Germain,Fullback,Shot creating actions,72
Nuno Mendes,Paris Saint-Germain,Fullback,Tackles won,19
Nuno Mendes,Paris Saint-Germain,Fullback,Challenges won,NA
Nuno Mendes,Paris Saint-Germain,Fullback,Blocks,25
Nuno Mendes,Paris Saint-Germain,Fullback,Aerials won,15
Nuno Mendes,Paris Saint-Germain,Fullback,Ball recoveries,108
