Player Name,Club,Position,Metric,Value
Owen Beck,Liverpool,Fullback,NPG,0
Owen Beck,Liverpool,Fullback,NPXG,1.1
Owen Beck,Liverpool,Fullback,Assists,2
Owen Beck,Liverpool,Fullback,Passes attempted,926
Owen Beck,Liverpool,Fullback,Pass Completion,72.4
Owen Beck,Liverpool,Fullback,Yellow Cards,1
Owen Beck,Liverpool,Fullback,Red Cards,0
Owen Beck,Liverpool,Fullback,Progressive carries,32
Owen Beck,Liverpool,Fullback,Progressive Passes,37
Owen Beck,Liverpool,Fullback,Key passes,19
Owen Beck,Liverpool,Fullback,Passes into final third,35
Owen Beck,Liverpool,Fullback,Crosses,72
Owen Beck,Liverpool,Fullback,Switches,4
Owen Beck,Liverpool,Fullback,Through Balls,2
Owen Beck,Liverpool,Fullback,Shot creating actions,39
Owen Beck,Liverpool,Fullback,Tackles won,38
Owen Beck,Liverpool,Fullback,Challenges won,NA
Owen Beck,Liverpool,Fullback,Blocks,35
Owen Beck,Liverpool,Fullback,Aerials won,11
Owen Beck,Liverpool,Fullback,Ball recoveries,75
