Player Name,Club,Position,Metric,Value
Rayan Aït-Nouri,Manchester City,Fullback,NPG,4
Rayan Aït-Nouri,Manchester City,Fullback,NPXG,2.7
Rayan Aït-Nouri,Manchester City,Fullback,Assists,7
Rayan Aït-Nouri,Manchester City,Fullback,Passes attempted,1721
Rayan Aït-Nouri,Manchester City,Fullback,Pass Completion,84.2
Rayan Aït-Nouri,Manchester City,Fullback,Yellow Cards,7
Rayan Aït-Nouri,Manchester City,Fullback,Red Cards,1
Rayan Aït-Nouri,Manchester City,Fullback,Progressive carries,89
Rayan Aït-Nouri,Manchester City,Fullback,Progressive Passes,108
Rayan Aït-Nouri,Manchester City,Fullback,Key passes,46
Rayan Aït-Nouri,Manchester City,Fullback,Passes into final third,77
Rayan Aït-Nouri,Manchester City,Fullback,Crosses,94
Rayan Aït-Nouri,Manchester City,Fullback,Switches,4
Rayan Aït-Nouri,Manchester City,Fullback,Through Balls,3
Rayan Aït-Nouri,Manchester City,Fullback,Shot creating actions,91
Rayan Aït-Nouri,Manchester City,Fullback,Tackles won,57
Rayan Aït-Nouri,Manchester City,Fullback,Challenges won,NA
Rayan Aït-Nouri,Manchester City,Fullback,Blocks,42
Rayan Aït-Nouri,Manchester City,Fullback,Aerials won,22
Rayan Aït-Nouri,Manchester City,Fullback,Ball recoveries,145
