Player Name,Club,Position,Metric,Value
Robin Gosens,Fiorentina,Fullback,NPG,0
Robin Gosens,Fiorentina,Fullback,NPXG,0.0
Robin Gosens,Fiorentina,Fullback,Assists,0
Robin Gosens,Fiorentina,Fullback,Passes attempted,42
Robin Gosens,Fiorentina,Fullback,Pass Completion,54.8
Robin Gosens,Fiorentina,Fullback,Yellow Cards,1
Robin Gosens,Fiorentina,Fullback,Red Cards,0
Robin Gosens,Fiorentina,Fullback,Progressive carries,1
Robin Gosens,Fiorentina,Fullback,Progressive Passes,4
Robin Gosens,Fiorentina,Fullback,Key passes,1
Robin Gosens,Fiorentina,Fullback,Passes into final third,3
Robin Gosens,Fiorentina,Fullback,Crosses,1
Robin Gosens,Fiorentina,Fullback,Switches,0
Robin Gosens,Fiorentina,Fullback,Through Balls,0
Robin Gosens,Fiorentina,Fullback,Shot creating actions,5
Robin Gosens,Fiorentina,Fullback,Tackles won,0
Robin Gosens,Fiorentina,Fullback,Challenges won,NA
Robin Gosens,Fiorentina,Fullback,Blocks,1
Robin Gosens,Fiorentina,Fullback,Aerials won,7
Robin Gosens,Fiorentina,Fullback,Ball recoveries,1
