Player Name,Club,Position,Metric,Value
Sergio Gómez,Real Sociedad,Fullback,NPG,2
Sergio Gómez,Real Sociedad,Fullback,NPXG,1.9
Sergio Gómez,Real Sociedad,Fullback,Assists,5
Sergio Gómez,Real Sociedad,Fullback,Passes attempted,1439
Sergio Gómez,Real Sociedad,Fullback,Pass Completion,74.8
Sergio Gómez,Real Sociedad,Fullback,Yellow Cards,4
Sergio Gómez,Real Sociedad,Fullback,Red Cards,0
Sergio Gómez,Real Sociedad,Fullback,Progressive carries,43
Sergio Gómez,Real Sociedad,Fullback,Progressive Passes,93
Sergio Gómez,Real Sociedad,Fullback,Key passes,56
Sergio Gómez,Real Sociedad,Fullback,Passes into final third,77
Sergio Gómez,Real Sociedad,Fullback,Crosses,231
Sergio Gómez,Real Sociedad,Fullback,Switches,9
Sergio Gómez,Real Sociedad,Fullback,Through Balls,1
Sergio Gómez,Real Sociedad,Fullback,Shot creating actions,102
Sergio Gómez,Real Sociedad,Fullback,Tackles won,39
Sergio Gómez,Real Sociedad,Fullback,Challenges won,NA
Sergio Gómez,Real Sociedad,Fullback,Blocks,44
Sergio Gómez,Real Sociedad,Fullback,Aerials won,20
Sergio Gómez,Real Sociedad,Fullback,Ball recoveries,146
