Player Name,Club,Position,Metric,Value
Theo Hernández,Al-Hilal,Fullback,NPG,4
Theo Hernández,Al-Hilal,Fullback,NPXG,1.9
Theo Hernández,Al-Hilal,Fullback,Assists,3
Theo Hernández,Al-Hilal,Fullback,Passes attempted,1639
Theo Hernández,Al-Hilal,Fullback,Pass Completion,83.8
Theo Hernández,Al-Hilal,Fullback,Yellow Cards,4
Theo Hernández,Al-Hilal,Fullback,Red Cards,1
Theo Hernández,Al-Hilal,Fullback,Progressive carries,93
Theo Hernández,Al-Hilal,Fullback,Progressive Passes,132
Theo Hernández,Al-Hilal,Fullback,Key passes,47
Theo Hernández,Al-Hilal,Fullback,Passes into final third,96
Theo Hernández,Al-Hilal,Fullback,Crosses,111
Theo Hernández,Al-Hilal,Fullback,Switches,10
Theo Hernández,Al-Hilal,Fullback,Through Balls,4
Theo Hernández,Al-Hilal,Fullback,Shot creating actions,107
Theo Hernández,Al-Hilal,Fullback,Tackles won,28
Theo Hernández,Al-Hilal,Fullback,Challenges won,NA
Theo Hernández,Al-Hilal,Fullback,Blocks,25
Theo Hernández,Al-Hilal,Fullback,Aerials won,37
Theo Hernández,Al-Hilal,Fullback,Ball recoveries,129
