Player Name,Club,Position,Metric,Value
Zeno Debast,Sporting CP,Fullback,NPG,0
Zeno Debast,Sporting CP,Fullback,NPXG,0.5
Zeno Debast,Sporting CP,Fullback,Assists,3
Zeno Debast,Sporting CP,Fullback,Passes attempted,1648
Zeno Debast,Sporting CP,Fullback,Pass Completion,87.6
Zeno Debast,Sporting CP,Fullback,Yellow Cards,3
Zeno Debast,Sporting CP,Fullback,Red Cards,0
Zeno Debast,Sporting CP,Fullback,Progressive carries,24
Zeno Debast,Sporting CP,Fullback,Progressive Passes,192
Zeno Debast,Sporting CP,Fullback,Key passes,25
Zeno Debast,Sporting CP,Fullback,Passes into final third,206
Zeno Debast,Sporting CP,Fullback,Crosses,51
Zeno Debast,Sporting CP,Fullback,Switches,18
Zeno Debast,Sporting CP,Fullback,Through Balls,3
Zeno Debast,Sporting CP,Fullback,Shot creating actions,50
Zeno Debast,Sporting CP,Fullback,Tackles won,26
Zeno Debast,Sporting CP,Fullback,Challenges won,NA
Zeno Debast,Sporting CP,Fullback,Blocks,21
Zeno Debast,Sporting CP,Fullback,Aerials won,20
Zeno Debast,Sporting CP,Fullback,Ball recoveries,129
