Player Name,Club,Position,Metric,Value
Alejandro Garnacho,Chelsea,CAM_Winger,Goals,6
Alejandro Garnacho,Chelsea,CAM_Winger,Assists,2
Alejandro Garnacho,Chelsea,CAM_Winger,NPG,6
Alejandro Garnacho,Chelsea,CAM_Winger,XG,7.3
Alejandro Garnacho,Chelsea,CAM_Winger,XA,4.5
Alejandro Garnacho,Chelsea,CAM_Winger,Progressive passes,56
Alejandro Garnacho,Chelsea,CAM_Winger,Progressive carries,141
Alejandro Garnacho,Chelsea,CAM_Winger,Passes completed,649
Alejandro Garnacho,Chelsea,CAM_Winger,Passes attempted,823
Alejandro Garnacho,Chelsea,CAM_Winger,Key passes,37
Alejandro Garnacho,Chelsea,CAM_Winger,Through balls,2
Alejandro Garnacho,Chelsea,CAM_Winger,Switches,9
Alejandro Garnacho,Chelsea,CAM_Winger,Crosses,56
Alejandro Garnacho,Chelsea,CAM_Winger,Corners,2
Alejandro Garnacho,Chelsea,CAM_Winger,Shot creating Actions,83
Alejandro Garnacho,Chelsea,CAM_Winger,SCA Take Ons,3
Alejandro Garnacho,Chelsea,CAM_Winger,GCA Shots,1
Alejandro Garnacho,Chelsea,CAM_Winger,Goal Creating Actions,6
Alejandro Garnacho,Chelsea,CAM_Winger,Tackles,30
Alejandro Garnacho,Chelsea,CAM_Winger,Dribblers tackles,NA
Alejandro Garnacho,Chelsea,CAM_Winger,Shots blocked,0
Alejandro Garnacho,Chelsea,CAM_Winger,Blocks,19
Alejandro Garnacho,Chelsea,CAM_Winger,Interceptions,13
Alejandro Garnacho,Chelsea,CAM_Winger,Passes Recieved,888
Alejandro Garnacho,Chelsea,CAM_Winger,Offsides,10
Alejandro Garnacho,Chelsea,CAM_Winger,Ball recoveries,108
Alejandro Garnacho,Chelsea,CAM_Winger,Errors,2
Alejandro Garnacho,Chelsea,CAM_Winger,Touches,1159
Alejandro Garnacho,Chelsea,CAM_Winger,Miscontrols,64
Alejandro Garnacho,Chelsea,CAM_Winger,Dispossessed,48
Alejandro Garnacho,Chelsea,CAM_Winger,Yellow Cards,3
Alejandro Garnacho,Chelsea,CAM_Winger,Red Cards,0
Alejandro Garnacho,Chelsea,CAM_Winger,Fouls committed,12
Alejandro Garnacho,Chelsea,CAM_Winger,Aerials Won,3
