Player Name,Club,Position,Metric,Value
Ansu Fati,Monaco,CAM_Winger,Goals,0
Ansu Fati,Monaco,CAM_Winger,Assists,0
Ansu Fati,Monaco,CAM_Winger,NPG,0
Ansu Fati,Monaco,CAM_Winger,XG,1.0
Ansu Fati,Monaco,CAM_Winger,XA,0.2
Ansu Fati,Monaco,CAM_Winger,Progressive passes,6
Ansu Fati,Monaco,CAM_Winger,Progressive carries,7
Ansu Fati,Monaco,CAM_Winger,Passes completed,104
Ansu Fati,Monaco,CAM_Winger,Passes attempted,125
Ansu Fati,Monaco,CAM_Winger,Key passes,4
Ansu Fati,Monaco,CAM_Winger,Through balls,2
Ansu Fati,Monaco,CAM_Winger,Switches,0
Ansu Fati,Monaco,CAM_Winger,Crosses,0
Ansu Fati,Monaco,CAM_Winger,Corners,1
Ansu Fati,Monaco,CAM_Winger,Shot creating Actions,11
Ansu Fati,Monaco,CAM_Winger,SCA Take Ons,0
Ansu Fati,Monaco,CAM_Winger,GCA Shots,0
Ansu Fati,Monaco,CAM_Winger,Goal Creating Actions,0
Ansu Fati,Monaco,CAM_Winger,Tackles,4
Ansu Fati,Monaco,CAM_Winger,Dribblers tackles,NA
Ansu Fati,Monaco,CAM_Winger,Shots blocked,0
Ansu Fati,Monaco,CAM_Winger,Blocks,1
Ansu Fati,Monaco,CAM_Winger,Interceptions,1
Ansu Fati,Monaco,CAM_Winger,Passes Recieved,134
Ansu Fati,Monaco,CAM_Winger,Offsides,2
Ansu Fati,Monaco,CAM_Winger,Ball recoveries,7
Ansu Fati,Monaco,CAM_Winger,Errors,1
Ansu Fati,Monaco,CAM_Winger,Touches,170
Ansu Fati,Monaco,CAM_Winger,Miscontrols,10
Ansu Fati,Monaco,CAM_Winger,Dispossessed,4
Ansu Fati,Monaco,CAM_Winger,Yellow Cards,1
Ansu Fati,Monaco,CAM_Winger,Red Cards,0
Ansu Fati,Monaco,CAM_Winger,Fouls committed,2
Ansu Fati,Monaco,CAM_Winger,Aerials Won,2
