Player Name,Club,Position,Metric,Value
Anthony Gordon,Newcastle United,CAM_Winger,Goals,6
Anthony Gordon,Newcastle United,CAM_Winger,Assists,5
Anthony Gordon,Newcastle United,CAM_Winger,NPG,5
Anthony Gordon,Newcastle United,CAM_Winger,XG,8.0
Anthony Gordon,Newcastle United,CAM_Winger,XA,5.0
Anthony Gordon,Newcastle United,CAM_Winger,Progressive passes,98
Anthony Gordon,Newcastle United,CAM_Winger,Progressive carries,121
Anthony Gordon,Newcastle United,CAM_Winger,Passes completed,720
Anthony Gordon,Newcastle United,CAM_Winger,Passes attempted,982
Anthony Gordon,Newcastle United,CAM_Winger,Key passes,51
Anthony Gordon,Newcastle United,CAM_Winger,Through balls,9
Anthony Gordon,Newcastle United,CAM_Winger,Switches,4
Anthony Gordon,Newcastle United,CAM_Winger,Crosses,131
Anthony Gordon,Newcastle United,CAM_Winger,Corners,53
Anthony Gordon,Newcastle United,CAM_Winger,Shot creating Actions,101
Anthony Gordon,Newcastle United,CAM_Winger,SCA Take Ons,7
Anthony Gordon,Newcastle United,CAM_Winger,GCA Shots,0
Anthony Gordon,Newcastle United,CAM_Winger,Goal Creating Actions,12
Anthony Gordon,Newcastle United,CAM_Winger,Tackles,32
Anthony Gordon,Newcastle United,CAM_Winger,Dribblers tackles,NA
Anthony Gordon,Newcastle United,CAM_Winger,Shots blocked,2
Anthony Gordon,Newcastle United,CAM_Winger,Blocks,25
Anthony Gordon,Newcastle United,CAM_Winger,Interceptions,7
Anthony Gordon,Newcastle United,CAM_Winger,Passes Recieved,924
Anthony Gordon,Newcastle United,CAM_Winger,Offsides,8
Anthony Gordon,Newcastle United,CAM_Winger,Ball recoveries,97
Anthony Gordon,Newcastle United,CAM_Winger,Errors,3
Anthony Gordon,Newcastle United,CAM_Winger,Touches,1267
Anthony Gordon,Newcastle United,CAM_Winger,Miscontrols,36
Anthony Gordon,Newcastle United,CAM_Winger,Dispossessed,38
Anthony Gordon,Newcastle United,CAM_Winger,Yellow Cards,2
Anthony Gordon,Newcastle United,CAM_Winger,Red Cards,0
Anthony Gordon,Newcastle United,CAM_Winger,Fouls committed,20
Anthony Gordon,Newcastle United,CAM_Winger,Aerials Won,8
