Player Name,Club,Position,Metric,Value
Armand Lauriente,Sassuolo,CAM_Winger,Goals,18
Armand Lauriente,Sassuolo,CAM_Winger,Assists,5
Armand Lauriente,Sassuolo,CAM_Winger,NPG,16
Armand Lauriente,Sassuolo,CAM_Winger,XG,10.7
Armand Lauriente,Sassuolo,CAM_Winger,XA,4.4
Armand Lauriente,Sassuolo,CAM_Winger,Progressive passes,80
Armand Lauriente,Sassuolo,CAM_Winger,Progressive carries,91
Armand Lauriente,Sassuolo,CAM_Winger,Passes completed,559
Armand Lauriente,Sassuolo,CAM_Winger,Passes attempted,741
Armand Lauriente,Sassuolo,CAM_Winger,Key passes,37
Armand Lauriente,Sassuolo,CAM_Winger,Through balls,4
Armand Lauriente,Sassuolo,CAM_Winger,Switches,3
Armand Lauriente,Sassuolo,CAM_Winger,Crosses,55
Armand Lauriente,Sassuolo,CAM_Winger,Corners,22
Armand Lauriente,Sassuolo,CAM_Winger,Shot creating Actions,96
Armand Lauriente,Sassuolo,CAM_Winger,SCA Take Ons,10
Armand Lauriente,Sassuolo,CAM_Winger,GCA Shots,0
Armand Lauriente,Sassuolo,CAM_Winger,Goal Creating Actions,10
Armand Lauriente,Sassuolo,CAM_Winger,Tackles,22
Armand Lauriente,Sassuolo,CAM_Winger,Dribblers tackles,NA
Armand Lauriente,Sassuolo,CAM_Winger,Shots blocked,3
Armand Lauriente,Sassuolo,CAM_Winger,Blocks,20
Armand Lauriente,Sassuolo,CAM_Winger,Interceptions,13
Armand Lauriente,Sassuolo,CAM_Winger,Passes Recieved,818
Armand Lauriente,Sassuolo,CAM_Winger,Offsides,11
Armand Lauriente,Sassuolo,CAM_Winger,Ball recoveries,67
Armand Lauriente,Sassuolo,CAM_Winger,Errors,0
Armand Lauriente,Sassuolo,CAM_Winger,Touches,1063
Armand Lauriente,Sassuolo,CAM_Winger,Miscontrols,71
Armand Lauriente,Sassuolo,CAM_Winger,Dispossessed,49
Armand Lauriente,Sassuolo,CAM_Winger,Yellow Cards,8
Armand Lauriente,Sassuolo,CAM_Winger,Red Cards,0
Armand Lauriente,Sassuolo,CAM_Winger,Fouls committed,34
Armand Lauriente,Sassuolo,CAM_Winger,Aerials Won,13
