Player Name,Club,Position,Metric,Value
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Goals,14
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Assists,10
Bradley Barcola,Paris Saint-Germain,CAM_Winger,NPG,14
Bradley Barcola,Paris Saint-Germain,CAM_Winger,XG,13.4
Bradley Barcola,Paris Saint-Germain,CAM_Winger,XA,10.1
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Progressive passes,96
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Progressive carries,137
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Passes completed,749
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Passes attempted,917
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Key passes,50
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Through balls,6
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Switches,2
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Crosses,25
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Corners,2
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Shot creating Actions,101
Bradley Barcola,Paris Saint-Germain,CAM_Winger,SCA Take Ons,5
Bradley Barcola,Paris Saint-Germain,CAM_Winger,GCA Shots,2
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Goal Creating Actions,20
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Tackles,27
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Dribblers tackles,NA
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Shots blocked,2
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Blocks,25
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Interceptions,19
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Passes Recieved,1019
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Offsides,7
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Ball recoveries,67
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Errors,0
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Touches,1278
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Miscontrols,64
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Dispossessed,20
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Yellow Cards,2
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Red Cards,0
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Fouls committed,30
Bradley Barcola,Paris Saint-Germain,CAM_Winger,Aerials Won,14
