Player Name,Club,Position,Metric,Value
Filip Kostić,Juventus,CAM_Winger,Goals,1
Filip Kostić,Juventus,CAM_Winger,Assists,6
Filip Kostić,Juventus,CAM_Winger,NPG,1
Filip Kostić,Juventus,CAM_Winger,XG,NA
Filip Kostić,Juventus,CAM_Winger,XA,NA
Filip Kostić,Juventus,CAM_Winger,Progressive passes,NA
Filip Kostić,Juventus,CAM_Winger,Progressive carries,NA
Filip Kostić,Juventus,CAM_Winger,Passes completed,NA
Filip Kostić,Juventus,CAM_Winger,Passes attempted,NA
Filip Kostić,Juventus,CAM_Winger,Key passes,NA
Filip Kostić,Juventus,CAM_Winger,Through balls,NA
Filip Kostić,Juventus,CAM_Winger,Switches,NA
Filip Kostić,Juventus,CAM_Winger,Crosses,195
Filip Kostić,Juventus,CAM_Winger,Corners,NA
Filip Kostić,Juventus,CAM_Winger,Shot creating Actions,NA
Filip Kostić,Juventus,CAM_Winger,SCA Take Ons,NA
Filip Kostić,Juventus,CAM_Winger,GCA Shots,NA
Filip Kostić,Juventus,CAM_Winger,Goal Creating Actions,NA
Filip Kostić,Juventus,CAM_Winger,Tackles,29
Filip Kostić,Juventus,CAM_Winger,Dribblers tackles,NA
Filip Kostić,Juventus,CAM_Winger,Shots blocked,NA
Filip Kostić,Juventus,CAM_Winger,Blocks,NA
Filip Kostić,Juventus,CAM_Winger,Interceptions,16
Filip Kostić,Juventus,CAM_Winger,Passes Recieved,NA
Filip Kostić,Juventus,CAM_Winger,Offsides,6
Filip Kostić,Juventus,CAM_Winger,Ball recoveries,NA
Filip Kostić,Juventus,CAM_Winger,Errors,NA
Filip Kostić,Juventus,CAM_Winger,Touches,NA
Filip Kostić,Juventus,CAM_Winger,Miscontrols,NA
Filip Kostić,Juventus,CAM_Winger,Dispossessed,NA
Filip Kostić,Juventus,CAM_Winger,Yellow Cards,5
Filip Kostić,Juventus,CAM_Winger,Red Cards,0
Filip Kostić,Juventus,CAM_Winger,Fouls committed,29
Filip Kostić,Juventus,CAM_Winger,Aerials Won,NA
