Player Name,Club,Position,Metric,Value
Jack Grealish,Everton,CAM_Winger,Goals,1
Jack Grealish,Everton,CAM_Winger,Assists,1
Jack Grealish,Everton,CAM_Winger,NPG,1
Jack Grealish,Everton,CAM_Winger,XG,1.1
Jack Grealish,Everton,CAM_Winger,XA,1.8
Jack Grealish,Everton,CAM_Winger,Progressive passes,52
Jack Grealish,Everton,CAM_Winger,Progressive carries,69
Jack Grealish,Everton,CAM_Winger,Passes completed,382
Jack Grealish,Everton,CAM_Winger,Passes attempted,436
Jack Grealish,Everton,CAM_Winger,Key passes,24
Jack Grealish,Everton,CAM_Winger,Through balls,0
Jack Grealish,Everton,CAM_Winger,Switches,0
Jack Grealish,Everton,CAM_Winger,Crosses,20
Jack Grealish,Everton,CAM_Winger,Corners,9
Jack Grealish,Everton,CAM_Winger,Shot creating Actions,47
Jack Grealish,Everton,CAM_Winger,SCA Take Ons,3
Jack Grealish,Everton,CAM_Winger,GCA Shots,0
Jack Grealish,Everton,CAM_Winger,Goal Creating Actions,2
Jack Grealish,Everton,CAM_Winger,Tackles,9
Jack Grealish,Everton,CAM_Winger,Dribblers tackles,NA
Jack Grealish,Everton,CAM_Winger,Shots blocked,2
Jack Grealish,Everton,CAM_Winger,Blocks,12
Jack Grealish,Everton,CAM_Winger,Interceptions,2
Jack Grealish,Everton,CAM_Winger,Passes Recieved,423
Jack Grealish,Everton,CAM_Winger,Offsides,0
Jack Grealish,Everton,CAM_Winger,Ball recoveries,26
Jack Grealish,Everton,CAM_Winger,Errors,1
Jack Grealish,Everton,CAM_Winger,Touches,521
Jack Grealish,Everton,CAM_Winger,Miscontrols,10
Jack Grealish,Everton,CAM_Winger,Dispossessed,16
Jack Grealish,Everton,CAM_Winger,Yellow Cards,3
Jack Grealish,Everton,CAM_Winger,Red Cards,0
Jack Grealish,Everton,CAM_Winger,Fouls committed,5
Jack Grealish,Everton,CAM_Winger,Aerials Won,1
