Player Name,Club,Position,Metric,Value
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Goals,10
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Assists,4
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,NPG,10
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,XG,9.2
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,XA,4.6
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Progressive passes,89
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Progressive carries,146
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Passes completed,749
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Passes attempted,988
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Key passes,37
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Through balls,9
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Switches,1
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Crosses,75
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Corners,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Shot creating Actions,87
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,SCA Take Ons,6
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,GCA Shots,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Goal Creating Actions,10
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Tackles,45
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Dribblers tackles,NA
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Shots blocked,3
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Blocks,48
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Interceptions,14
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Passes Recieved,966
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Offsides,5
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Ball recoveries,99
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Errors,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Touches,1375
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Miscontrols,53
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Dispossessed,23
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Yellow Cards,1
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Red Cards,0
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Fouls committed,40
Kaoru Mitoma,Brighton & Hove Albion,CAM_Winger,Aerials Won,26
