Player Name,Club,Position,Metric,Value
Luis Díaz,Bayern Munich,CAM_Winger,Goals,13
Luis Díaz,Bayern Munich,CAM_Winger,Assists,5
Luis Díaz,Bayern Munich,CAM_Winger,NPG,13
Luis Díaz,Bayern Munich,CAM_Winger,XG,12.0
Luis Díaz,Bayern Munich,CAM_Winger,XA,5.0
Luis Díaz,Bayern Munich,CAM_Winger,Progressive passes,110
Luis Díaz,Bayern Munich,CAM_Winger,Progressive carries,108
Luis Díaz,Bayern Munich,CAM_Winger,Passes completed,736
Luis Díaz,Bayern Munich,CAM_Winger,Passes attempted,874
Luis Díaz,Bayern Munich,CAM_Winger,Key passes,56
Luis Díaz,Bayern Munich,CAM_Winger,Through balls,2
Luis Díaz,Bayern Munich,CAM_Winger,Switches,9
Luis Díaz,Bayern Munich,CAM_Winger,Crosses,32
Luis Díaz,Bayern Munich,CAM_Winger,Corners,1
Luis Díaz,Bayern Munich,CAM_Winger,Shot creating Actions,117
Luis Díaz,Bayern Munich,CAM_Winger,SCA Take Ons,16
Luis Díaz,Bayern Munich,CAM_Winger,GCA Shots,0
Luis Díaz,Bayern Munich,CAM_Winger,Goal Creating Actions,16
Luis Díaz,Bayern Munich,CAM_Winger,Tackles,39
Luis Díaz,Bayern Munich,CAM_Winger,Dribblers tackles,NA
Luis Díaz,Bayern Munich,CAM_Winger,Shots blocked,0
Luis Díaz,Bayern Munich,CAM_Winger,Blocks,19
Luis Díaz,Bayern Munich,CAM_Winger,Interceptions,7
Luis Díaz,Bayern Munich,CAM_Winger,Passes Recieved,933
Luis Díaz,Bayern Munich,CAM_Winger,Offsides,10
Luis Díaz,Bayern Munich,CAM_Winger,Ball recoveries,105
Luis Díaz,Bayern Munich,CAM_Winger,Errors,1
Luis Díaz,Bayern Munich,CAM_Winger,Touches,1184
Luis Díaz,Bayern Munich,CAM_Winger,Miscontrols,55
Luis Díaz,Bayern Munich,CAM_Winger,Dispossessed,49
Luis Díaz,Bayern Munich,CAM_Winger,Yellow Cards,2
Luis Díaz,Bayern Munich,CAM_Winger,Red Cards,0
Luis Díaz,Bayern Munich,CAM_Winger,Fouls committed,48
Luis Díaz,Bayern Munich,CAM_Winger,Aerials Won,13
