Player Name,Club,Position,Metric,Value
Marcus Rashford,Barcelona,CAM_Winger,Goals,4
Marcus Rashford,Barcelona,CAM_Winger,Assists,1
Marcus Rashford,Barcelona,CAM_Winger,NPG,4
Marcus Rashford,Barcelona,CAM_Winger,XG,1.7
Marcus Rashford,Barcelona,CAM_Winger,XA,2.1
Marcus Rashford,Barcelona,CAM_Winger,Progressive passes,21
Marcus Rashford,Barcelona,CAM_Winger,Progressive carries,20
Marcus Rashford,Barcelona,CAM_Winger,Passes completed,253
Marcus Rashford,Barcelona,CAM_Winger,Passes attempted,343
Marcus Rashford,Barcelona,CAM_Winger,Key passes,15
Marcus Rashford,Barcelona,CAM_Winger,Through balls,6
Marcus Rashford,Barcelona,CAM_Winger,Switches,5
Marcus Rashford,Barcelona,CAM_Winger,Crosses,27
Marcus Rashford,Barcelona,CAM_Winger,Corners,1
Marcus Rashford,Barcelona,CAM_Winger,Shot creating Actions,29
Marcus Rashford,Barcelona,CAM_Winger,SCA Take Ons,2
Marcus Rashford,Barcelona,CAM_Winger,GCA Shots,0
Marcus Rashford,Barcelona,CAM_Winger,Goal Creating Actions,1
Marcus Rashford,Barcelona,CAM_Winger,Tackles,7
Marcus Rashford,Barcelona,CAM_Winger,Dribblers tackles,NA
Marcus Rashford,Barcelona,CAM_Winger,Shots blocked,0
Marcus Rashford,Barcelona,CAM_Winger,Blocks,8
Marcus Rashford,Barcelona,CAM_Winger,Interceptions,4
Marcus Rashford,Barcelona,CAM_Winger,Passes Recieved,341
Marcus Rashford,Barcelona,CAM_Winger,Offsides,7
Marcus Rashford,Barcelona,CAM_Winger,Ball recoveries,24
Marcus Rashford,Barcelona,CAM_Winger,Errors,0
Marcus Rashford,Barcelona,CAM_Winger,Touches,440
Marcus Rashford,Barcelona,CAM_Winger,Miscontrols,14
Marcus Rashford,Barcelona,CAM_Winger,Dispossessed,6
Marcus Rashford,Barcelona,CAM_Winger,Yellow Cards,2
Marcus Rashford,Barcelona,CAM_Winger,Red Cards,0
Marcus Rashford,Barcelona,CAM_Winger,Fouls committed,8
Marcus Rashford,Barcelona,CAM_Winger,Aerials Won,5
