Player Name,Club,Position,Metric,Value
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Goals,9
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Assists,3
Mikel Oyarzabal,Real Sociedad,CAM_Winger,NPG,5
Mikel Oyarzabal,Real Sociedad,CAM_Winger,XG,9.9
Mikel Oyarzabal,Real Sociedad,CAM_Winger,XA,2.4
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Progressive passes,28
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Progressive carries,31
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Passes completed,371
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Passes attempted,505
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Key passes,15
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Through balls,2
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Switches,3
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Crosses,10
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Corners,0
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Shot creating Actions,38
Mikel Oyarzabal,Real Sociedad,CAM_Winger,SCA Take Ons,1
Mikel Oyarzabal,Real Sociedad,CAM_Winger,GCA Shots,0
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Goal Creating Actions,5
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Tackles,25
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Dribblers tackles,NA
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Shots blocked,1
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Blocks,17
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Interceptions,4
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Passes Recieved,532
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Offsides,18
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Ball recoveries,48
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Errors,0
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Touches,729
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Miscontrols,63
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Dispossessed,30
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Yellow Cards,4
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Red Cards,1
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Fouls committed,14
Mikel Oyarzabal,Real Sociedad,CAM_Winger,Aerials Won,32
