Player Name,Club,Position,Metric,Value
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Goals,5
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Assists,14
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,NPG,5
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,XG,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,XA,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Progressive passes,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Progressive carries,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Passes completed,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Passes attempted,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Key passes,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Through balls,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Switches,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Crosses,135
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Corners,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Shot creating Actions,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,SCA Take Ons,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,GCA Shots,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Goal Creating Actions,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Tackles,10
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Dribblers tackles,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Shots blocked,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Blocks,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Interceptions,10
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Passes Recieved,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Offsides,8
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Ball recoveries,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Errors,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Touches,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Miscontrols,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Dispossessed,NA
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Yellow Cards,4
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Red Cards,1
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Fouls committed,15
Moussa Diaby,Al Ittihad Jeddah,CAM_Winger,Aerials Won,NA
