Player Name,Club,Position,Metric,Value
Mykhailo Mudryk,Chelsea,CAM_Winger,Goals,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Assists,0
Mykhailo Mudryk,Chelsea,CAM_Winger,NPG,0
Mykhailo Mudryk,Chelsea,CAM_Winger,XG,0.3
Mykhailo Mudryk,Chelsea,CAM_Winger,XA,1.0
Mykhailo Mudryk,Chelsea,CAM_Winger,Progressive passes,5
Mykhailo Mudryk,Chelsea,CAM_Winger,Progressive carries,7
Mykhailo Mudryk,Chelsea,CAM_Winger,Passes completed,28
Mykhailo Mudryk,Chelsea,CAM_Winger,Passes attempted,42
Mykhailo Mudryk,Chelsea,CAM_Winger,Key passes,2
Mykhailo Mudryk,Chelsea,CAM_Winger,Through balls,1
Mykhailo Mudryk,Chelsea,CAM_Winger,Switches,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Crosses,7
Mykhailo Mudryk,Chelsea,CAM_Winger,Corners,2
Mykhailo Mudryk,Chelsea,CAM_Winger,Shot creating Actions,6
Mykhailo Mudryk,Chelsea,CAM_Winger,SCA Take Ons,0
Mykhailo Mudryk,Chelsea,CAM_Winger,GCA Shots,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Goal Creating Actions,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Tackles,2
Mykhailo Mudryk,Chelsea,CAM_Winger,Dribblers tackles,NA
Mykhailo Mudryk,Chelsea,CAM_Winger,Shots blocked,1
Mykhailo Mudryk,Chelsea,CAM_Winger,Blocks,3
Mykhailo Mudryk,Chelsea,CAM_Winger,Interceptions,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Passes Recieved,42
Mykhailo Mudryk,Chelsea,CAM_Winger,Offsides,1
Mykhailo Mudryk,Chelsea,CAM_Winger,Ball recoveries,9
Mykhailo Mudryk,Chelsea,CAM_Winger,Errors,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Touches,62
Mykhailo Mudryk,Chelsea,CAM_Winger,Miscontrols,3
Mykhailo Mudryk,Chelsea,CAM_Winger,Dispossessed,7
Mykhailo Mudryk,Chelsea,CAM_Winger,Yellow Cards,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Red Cards,0
Mykhailo Mudryk,Chelsea,CAM_Winger,Fouls committed,2
Mykhailo Mudryk,Chelsea,CAM_Winger,Aerials Won,2
