Player Name,Club,Position,Metric,Value
Rafael Leão,Milan,CAM_Winger,Goals,8
Rafael Leão,Milan,CAM_Winger,Assists,8
Rafael Leão,Milan,CAM_Winger,NPG,8
Rafael Leão,Milan,CAM_Winger,XG,7.6
Rafael Leão,Milan,CAM_Winger,XA,8.4
Rafael Leão,Milan,CAM_Winger,Progressive passes,93
Rafael Leão,Milan,CAM_Winger,Progressive carries,123
Rafael Leão,Milan,CAM_Winger,Passes completed,630
Rafael Leão,Milan,CAM_Winger,Passes attempted,849
Rafael Leão,Milan,CAM_Winger,Key passes,58
Rafael Leão,Milan,CAM_Winger,Through balls,10
Rafael Leão,Milan,CAM_Winger,Switches,4
Rafael Leão,Milan,CAM_Winger,Crosses,55
Rafael Leão,Milan,CAM_Winger,Corners,8
Rafael Leão,Milan,CAM_Winger,Shot creating Actions,113
Rafael Leão,Milan,CAM_Winger,SCA Take Ons,16
Rafael Leão,Milan,CAM_Winger,GCA Shots,1
Rafael Leão,Milan,CAM_Winger,Goal Creating Actions,16
Rafael Leão,Milan,CAM_Winger,Tackles,16
Rafael Leão,Milan,CAM_Winger,Dribblers tackles,NA
Rafael Leão,Milan,CAM_Winger,Shots blocked,1
Rafael Leão,Milan,CAM_Winger,Blocks,15
Rafael Leão,Milan,CAM_Winger,Interceptions,6
Rafael Leão,Milan,CAM_Winger,Passes Recieved,940
Rafael Leão,Milan,CAM_Winger,Offsides,7
Rafael Leão,Milan,CAM_Winger,Ball recoveries,66
Rafael Leão,Milan,CAM_Winger,Errors,0
Rafael Leão,Milan,CAM_Winger,Touches,1135
Rafael Leão,Milan,CAM_Winger,Miscontrols,53
Rafael Leão,Milan,CAM_Winger,Dispossessed,36
Rafael Leão,Milan,CAM_Winger,Yellow Cards,5
Rafael Leão,Milan,CAM_Winger,Red Cards,0
Rafael Leão,Milan,CAM_Winger,Fouls committed,19
Rafael Leão,Milan,CAM_Winger,Aerials Won,26
