Player Name,Club,Position,Metric,Value
Raphinha,Barcelona,CAM_Winger,Goals,18
Raphinha,Barcelona,CAM_Winger,Assists,9
Raphinha,Barcelona,CAM_Winger,NPG,16
Raphinha,Barcelona,CAM_Winger,XG,19.2
Raphinha,Barcelona,CAM_Winger,XA,12.7
Raphinha,Barcelona,CAM_Winger,Progressive passes,135
Raphinha,Barcelona,CAM_Winger,Progressive carries,94
Raphinha,Barcelona,CAM_Winger,Passes completed,1064
Raphinha,Barcelona,CAM_Winger,Passes attempted,1497
Raphinha,Barcelona,CAM_Winger,Key passes,91
Raphinha,Barcelona,CAM_Winger,Through balls,11
Raphinha,Barcelona,CAM_Winger,Switches,15
Raphinha,Barcelona,CAM_Winger,Crosses,215
Raphinha,Barcelona,CAM_Winger,Corners,140
Raphinha,Barcelona,CAM_Winger,Shot creating Actions,163
Raphinha,Barcelona,CAM_Winger,SCA Take Ons,8
Raphinha,Barcelona,CAM_Winger,GCA Shots,2
Raphinha,Barcelona,CAM_Winger,Goal Creating Actions,22
Raphinha,Barcelona,CAM_Winger,Tackles,36
Raphinha,Barcelona,CAM_Winger,Dribblers tackles,NA
Raphinha,Barcelona,CAM_Winger,Shots blocked,2
Raphinha,Barcelona,CAM_Winger,Blocks,29
Raphinha,Barcelona,CAM_Winger,Interceptions,11
Raphinha,Barcelona,CAM_Winger,Passes Recieved,1316
Raphinha,Barcelona,CAM_Winger,Offsides,10
Raphinha,Barcelona,CAM_Winger,Ball recoveries,94
Raphinha,Barcelona,CAM_Winger,Errors,0
Raphinha,Barcelona,CAM_Winger,Touches,1863
Raphinha,Barcelona,CAM_Winger,Miscontrols,53
Raphinha,Barcelona,CAM_Winger,Dispossessed,29
Raphinha,Barcelona,CAM_Winger,Yellow Cards,4
Raphinha,Barcelona,CAM_Winger,Red Cards,0
Raphinha,Barcelona,CAM_Winger,Fouls committed,11
Raphinha,Barcelona,CAM_Winger,Aerials Won,9
