Player Name,Club,Position,Metric,Value
Sávio,Manchester City,CAM_Winger,Goals,1
Sávio,Manchester City,CAM_Winger,Assists,8
Sávio,Manchester City,CAM_Winger,NPG,1
Sávio,Manchester City,CAM_Winger,XG,5.0
Sávio,Manchester City,CAM_Winger,XA,6.9
Sávio,Manchester City,CAM_Winger,Progressive passes,67
Sávio,Manchester City,CAM_Winger,Progressive carries,137
Sávio,Manchester City,CAM_Winger,Passes completed,692
Sávio,Manchester City,CAM_Winger,Passes attempted,856
Sávio,Manchester City,CAM_Winger,Key passes,46
Sávio,Manchester City,CAM_Winger,Through balls,5
Sávio,Manchester City,CAM_Winger,Switches,7
Sávio,Manchester City,CAM_Winger,Crosses,84
Sávio,Manchester City,CAM_Winger,Corners,18
Sávio,Manchester City,CAM_Winger,Shot creating Actions,111
Sávio,Manchester City,CAM_Winger,SCA Take Ons,15
Sávio,Manchester City,CAM_Winger,GCA Shots,1
Sávio,Manchester City,CAM_Winger,Goal Creating Actions,15
Sávio,Manchester City,CAM_Winger,Tackles,23
Sávio,Manchester City,CAM_Winger,Dribblers tackles,NA
Sávio,Manchester City,CAM_Winger,Shots blocked,2
Sávio,Manchester City,CAM_Winger,Blocks,14
Sávio,Manchester City,CAM_Winger,Interceptions,6
Sávio,Manchester City,CAM_Winger,Passes Recieved,852
Sávio,Manchester City,CAM_Winger,Offsides,3
Sávio,Manchester City,CAM_Winger,Ball recoveries,79
Sávio,Manchester City,CAM_Winger,Errors,1
Sávio,Manchester City,CAM_Winger,Touches,1095
Sávio,Manchester City,CAM_Winger,Miscontrols,42
Sávio,Manchester City,CAM_Winger,Dispossessed,38
Sávio,Manchester City,CAM_Winger,Yellow Cards,3
Sávio,Manchester City,CAM_Winger,Red Cards,0
Sávio,Manchester City,CAM_Winger,Fouls committed,17
Sávio,Manchester City,CAM_Winger,Aerials Won,1
