Player Name,Club,Position,Metric,Value
Son Heung-min,Los Angeles FC,CAM_Winger,Goals,7
Son Heung-min,Los Angeles FC,CAM_Winger,Assists,9
Son Heung-min,Los Angeles FC,CAM_Winger,NPG,6
Son Heung-min,Los Angeles FC,CAM_Winger,XG,7.2
Son Heung-min,Los Angeles FC,CAM_Winger,XA,8.2
Son Heung-min,Los Angeles FC,CAM_Winger,Progressive passes,111
Son Heung-min,Los Angeles FC,CAM_Winger,Progressive carries,96
Son Heung-min,Los Angeles FC,CAM_Winger,Passes completed,730
Son Heung-min,Los Angeles FC,CAM_Winger,Passes attempted,925
Son Heung-min,Los Angeles FC,CAM_Winger,Key passes,50
Son Heung-min,Los Angeles FC,CAM_Winger,Through balls,4
Son Heung-min,Los Angeles FC,CAM_Winger,Switches,4
Son Heung-min,Los Angeles FC,CAM_Winger,Crosses,78
Son Heung-min,Los Angeles FC,CAM_Winger,Corners,38
Son Heung-min,Los Angeles FC,CAM_Winger,Shot creating Actions,117
Son Heung-min,Los Angeles FC,CAM_Winger,SCA Take Ons,10
Son Heung-min,Los Angeles FC,CAM_Winger,GCA Shots,1
Son Heung-min,Los Angeles FC,CAM_Winger,Goal Creating Actions,15
Son Heung-min,Los Angeles FC,CAM_Winger,Tackles,17
Son Heung-min,Los Angeles FC,CAM_Winger,Dribblers tackles,NA
Son Heung-min,Los Angeles FC,CAM_Winger,Shots blocked,0
Son Heung-min,Los Angeles FC,CAM_Winger,Blocks,11
Son Heung-min,Los Angeles FC,CAM_Winger,Interceptions,5
Son Heung-min,Los Angeles FC,CAM_Winger,Passes Recieved,867
Son Heung-min,Los Angeles FC,CAM_Winger,Offsides,12
Son Heung-min,Los Angeles FC,CAM_Winger,Ball recoveries,85
Son Heung-min,Los Angeles FC,CAM_Winger,Errors,1
Son Heung-min,Los Angeles FC,CAM_Winger,Touches,1134
Son Heung-min,Los Angeles FC,CAM_Winger,Miscontrols,25
Son Heung-min,Los Angeles FC,CAM_Winger,Dispossessed,32
Son Heung-min,Los Angeles FC,CAM_Winger,Yellow Cards,1
Son Heung-min,Los Angeles FC,CAM_Winger,Red Cards,0
Son Heung-min,Los Angeles FC,CAM_Winger,Fouls committed,6
Son Heung-min,Los Angeles FC,CAM_Winger,Aerials Won,6
