Player Name,Club,Position,Metric,Value
Vinicius Júnior,Real Madrid,CAM_Winger,Goals,11
Vinicius Júnior,Real Madrid,CAM_Winger,Assists,8
Vinicius Júnior,Real Madrid,CAM_Winger,NPG,9
Vinicius Júnior,Real Madrid,CAM_Winger,XG,10.4
Vinicius Júnior,Real Madrid,CAM_Winger,XA,8.0
Vinicius Júnior,Real Madrid,CAM_Winger,Progressive passes,85
Vinicius Júnior,Real Madrid,CAM_Winger,Progressive carries,169
Vinicius Júnior,Real Madrid,CAM_Winger,Passes completed,673
Vinicius Júnior,Real Madrid,CAM_Winger,Passes attempted,901
Vinicius Júnior,Real Madrid,CAM_Winger,Key passes,58
Vinicius Júnior,Real Madrid,CAM_Winger,Through balls,15
Vinicius Júnior,Real Madrid,CAM_Winger,Switches,16
Vinicius Júnior,Real Madrid,CAM_Winger,Crosses,56
Vinicius Júnior,Real Madrid,CAM_Winger,Corners,8
Vinicius Júnior,Real Madrid,CAM_Winger,Shot creating Actions,135
Vinicius Júnior,Real Madrid,CAM_Winger,SCA Take Ons,29
Vinicius Júnior,Real Madrid,CAM_Winger,GCA Shots,0
Vinicius Júnior,Real Madrid,CAM_Winger,Goal Creating Actions,18
Vinicius Júnior,Real Madrid,CAM_Winger,Tackles,21
Vinicius Júnior,Real Madrid,CAM_Winger,Dribblers tackles,NA
Vinicius Júnior,Real Madrid,CAM_Winger,Shots blocked,0
Vinicius Júnior,Real Madrid,CAM_Winger,Blocks,9
Vinicius Júnior,Real Madrid,CAM_Winger,Interceptions,3
Vinicius Júnior,Real Madrid,CAM_Winger,Passes Recieved,1059
Vinicius Júnior,Real Madrid,CAM_Winger,Offsides,10
Vinicius Júnior,Real Madrid,CAM_Winger,Ball recoveries,71
Vinicius Júnior,Real Madrid,CAM_Winger,Errors,2
Vinicius Júnior,Real Madrid,CAM_Winger,Touches,1264
Vinicius Júnior,Real Madrid,CAM_Winger,Miscontrols,72
Vinicius Júnior,Real Madrid,CAM_Winger,Dispossessed,49
Vinicius Júnior,Real Madrid,CAM_Winger,Yellow Cards,8
Vinicius Júnior,Real Madrid,CAM_Winger,Red Cards,1
Vinicius Júnior,Real Madrid,CAM_Winger,Fouls committed,30
Vinicius Júnior,Real Madrid,CAM_Winger,Aerials Won,1
