Player Name,Club,Position,Metric,Value
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Goals,2
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Assists,4
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,NPG,2
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,XG,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,XA,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Progressive passes,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Progressive carries,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Passes completed,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Passes attempted,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Key passes,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Through balls,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Switches,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Crosses,66
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Corners,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Shot creating Actions,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,SCA Take Ons,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,GCA Shots,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Goal Creating Actions,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Tackles,5
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Dribblers tackles,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Shots blocked,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Blocks,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Interceptions,3
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Passes Recieved,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Offsides,7
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Ball recoveries,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Errors,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Touches,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Miscontrols,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Dispossessed,NA
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Yellow Cards,3
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Red Cards,0
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Fouls committed,10
Yannick Carrasco,Al Shabab (KSA),CAM_Winger,Aerials Won,NA
