Player Name,Club,Position,Metric,Value
Aaron Hickey,Brentford,Fullback,NPG,NA
Aaron Hickey,Brentford,Fullback,NPXG,NA
Aaron Hickey,Brentford,Fullback,Assists,0
Aaron Hickey,Brentford,Fullback,Passes attempted,NA
Aaron Hickey,Brentford,Fullback,Pass Completion,NA
Aaron Hickey,Brentford,Fullback,Yellow Cards,NA
Aaron Hickey,Brentford,Fullback,Red Cards,NA
Aaron Hickey,Brentford,Fullback,Progressive carries,NA
Aaron Hickey,Brentford,Fullback,Progressive Passes,NA
Aaron Hickey,Brentford,Fullback,Key passes,NA
Aaron Hickey,Brentford,Fullback,Passes into final third,NA
Aaron Hickey,Brentford,Fullback,Crosses,NA
Aaron Hickey,Brentford,Fullback,Switches,NA
Aaron Hickey,Brentford,Fullback,Through Balls,NA
Aaron Hickey,Brentford,Fullback,Shot creating actions,NA
Aaron Hickey,Brentford,Fullback,Tackles won,NA
Aaron Hickey,Brentford,Fullback,Challenges won,NA
Aaron Hickey,Brentford,Fullback,Blocks,NA
Aaron Hickey,Brentford,Fullback,Aerials won,NA
Aaron Hickey,Brentford,Fullback,Ball recoveries,NA
