Player Name,Club,Position,Metric,Value
Aaron Wan-Bissaka,West Ham United,Fullback,NPG,2
Aaron Wan-Bissaka,West Ham United,Fullback,NPXG,1.2
Aaron Wan-Bissaka,West Ham United,Fullback,Assists,5
Aaron Wan-Bissaka,West Ham United,Fullback,Passes attempted,1815
Aaron Wan-Bissaka,West Ham United,Fullback,Pass Completion,81.1
Aaron Wan-Bissaka,West Ham United,Fullback,Yellow Cards,1
Aaron Wan-Bissaka,West Ham United,Fullback,Red Cards,0
Aaron Wan-Bissaka,West Ham United,Fullback,Progressive carries,110
Aaron Wan-Bissaka,West Ham United,Fullback,Progressive Passes,149
Aaron Wan-Bissaka,West Ham United,Fullback,Key passes,33
Aaron Wan-Bissaka,West Ham United,Fullback,Passes into final third,94
Aaron Wan-Bissaka,West Ham United,Fullback,Crosses,76
Aaron Wan-Bissaka,West Ham United,Fullback,Switches,1
Aaron Wan-Bissaka,West Ham United,Fullback,Through Balls,5
Aaron Wan-Bissaka,West Ham United,Fullback,Shot creating actions,93
Aaron Wan-Bissaka,West Ham United,Fullback,Tackles won,49
Aaron Wan-Bissaka,West Ham United,Fullback,Challenges won,NA
Aaron Wan-Bissaka,West Ham United,Fullback,Blocks,37
Aaron Wan-Bissaka,West Ham United,Fullback,Aerials won,22
Aaron Wan-Bissaka,West Ham United,Fullback,Ball recoveries,174
