Player Name,Club,Position,Metric,Value
Achraf Hakimi,Paris Saint-Germain,Fullback,NPG,4
Achraf Hakimi,Paris Saint-Germain,Fullback,NPXG,2.9
Achraf Hakimi,Paris Saint-Germain,Fullback,Assists,6
Achraf Hakimi,Paris Saint-Germain,Fullback,Passes attempted,2140
Achraf Hakimi,Paris Saint-Germain,Fullback,Pass Completion,88.7
Achraf Hakimi,Paris Saint-Germain,Fullback,Yellow Cards,4
Achraf Hakimi,Paris Saint-Germain,Fullback,Red Cards,0
Achraf Hakimi,Paris Saint-Germain,Fullback,Progressive carries,93
Achraf Hakimi,Paris Saint-Germain,Fullback,Progressive Passes,183
Achraf Hakimi,Paris Saint-Germain,Fullback,Key passes,50
Achraf Hakimi,Paris Saint-Germain,Fullback,Passes into final third,138
Achraf Hakimi,Paris Saint-Germain,Fullback,Crosses,80
Achraf Hakimi,Paris Saint-Germain,Fullback,Switches,8
Achraf Hakimi,Paris Saint-Germain,Fullback,Through Balls,2
Achraf Hakimi,Paris Saint-Germain,Fullback,Shot creating actions,104
Achraf Hakimi,Paris Saint-Germain,Fullback,Tackles won,36
Achraf Hakimi,Paris Saint-Germain,Fullback,Challenges won,NA
Achraf Hakimi,Paris Saint-Germain,Fullback,Blocks,25
Achraf Hakimi,Paris Saint-Germain,Fullback,Aerials won,9
Achraf Hakimi,Paris Saint-Germain,Fullback,Ball recoveries,136
