Player Name,Club,Position,Metric,Value
Benjamin Pavard,Marseille,Fullback,NPG,0
Benjamin Pavard,Marseille,Fullback,NPXG,0.5
Benjamin Pavard,Marseille,Fullback,Assists,1
Benjamin Pavard,Marseille,Fullback,Passes attempted,1150
Benjamin Pavard,Marseille,Fullback,Pass Completion,91.3
Benjamin Pavard,Marseille,Fullback,Yellow Cards,4
Benjamin Pavard,Marseille,Fullback,Red Cards,0
Benjamin Pavard,Marseille,Fullback,Progressive carries,13
Benjamin Pavard,Marseille,Fullback,Progressive Passes,92
Benjamin Pavard,Marseille,Fullback,Key passes,8
Benjamin Pavard,Marseille,Fullback,Passes into final third,84
Benjamin Pavard,Marseille,Fullback,Crosses,11
Benjamin Pavard,Marseille,Fullback,Switches,4
Benjamin Pavard,Marseille,Fullback,Through Balls,0
Benjamin Pavard,Marseille,Fullback,Shot creating actions,21
Benjamin Pavard,Marseille,Fullback,Tackles won,16
Benjamin Pavard,Marseille,Fullback,Challenges won,NA
Benjamin Pavard,Marseille,Fullback,Blocks,16
Benjamin Pavard,Marseille,Fullback,Aerials won,40
Benjamin Pavard,Marseille,Fullback,Ball recoveries,46
