Player Name,Club,Position,Metric,Value
Christian Günter,Freiburg,Fullback,NPG,2
Christian Günter,Freiburg,Fullback,NPXG,0.6
Christian Günter,Freiburg,Fullback,Assists,2
Christian Günter,Freiburg,Fullback,Passes attempted,1143
Christian Günter,Freiburg,Fullback,Pass Completion,74.5
Christian Günter,Freiburg,Fullback,Yellow Cards,0
Christian Günter,Freiburg,Fullback,Red Cards,0
Christian Günter,Freiburg,Fullback,Progressive carries,19
Christian Günter,Freiburg,Fullback,Progressive Passes,52
Christian Günter,Freiburg,Fullback,Key passes,28
Christian Günter,Freiburg,Fullback,Passes into final third,53
Christian Günter,Freiburg,Fullback,Crosses,121
Christian Günter,Freiburg,Fullback,Switches,1
Christian Günter,Freiburg,Fullback,Through Balls,2
Christian Günter,Freiburg,Fullback,Shot creating actions,53
Christian Günter,Freiburg,Fullback,Tackles won,21
Christian Günter,Freiburg,Fullback,Challenges won,NA
Christian Günter,Freiburg,Fullback,Blocks,24
Christian Günter,Freiburg,Fullback,Aerials won,7
Christian Günter,Freiburg,Fullback,Ball recoveries,61
