Player Name,Club,Position,Metric,Value
Diogo Dalot,Manchester United,Fullback,NPG,0
Diogo Dalot,Manchester United,Fullback,NPXG,2.0
Diogo Dalot,Manchester United,Fullback,Assists,3
Diogo Dalot,Manchester United,Fullback,Passes attempted,1673
Diogo Dalot,Manchester United,Fullback,Pass Completion,80.5
Diogo Dalot,Manchester United,Fullback,Yellow Cards,5
Diogo Dalot,Manchester United,Fullback,Red Cards,0
Diogo Dalot,Manchester United,Fullback,Progressive carries,62
Diogo Dalot,Manchester United,Fullback,Progressive Passes,103
Diogo Dalot,Manchester United,Fullback,Key passes,26
Diogo Dalot,Manchester United,Fullback,Passes into final third,61
Diogo Dalot,Manchester United,Fullback,Crosses,66
Diogo Dalot,Manchester United,Fullback,Switches,8
Diogo Dalot,Manchester United,Fullback,Through Balls,4
Diogo Dalot,Manchester United,Fullback,Shot creating actions,74
Diogo Dalot,Manchester United,Fullback,Tackles won,40
Diogo Dalot,Manchester United,Fullback,Challenges won,NA
Diogo Dalot,Manchester United,Fullback,Blocks,22
Diogo Dalot,Manchester United,Fullback,Aerials won,38
Diogo Dalot,Manchester United,Fullback,Ball recoveries,167
