Player Name,Club,Position,Metric,Value
Dodô,Fiorentina,Fullback,NPG,0
Dodô,Fiorentina,Fullback,NPXG,1.4
Dodô,Fiorentina,Fullback,Assists,5
Dodô,Fiorentina,Fullback,Passes attempted,1728
Dodô,Fiorentina,Fullback,Pass Completion,77.6
Dodô,Fiorentina,Fullback,Yellow Cards,8
Dodô,Fiorentina,Fullback,Red Cards,0
Dodô,Fiorentina,Fullback,Progressive carries,143
Dodô,Fiorentina,Fullback,Progressive Passes,128
Dodô,Fiorentina,Fullback,Key passes,36
Dodô,Fiorentina,Fullback,Passes into final third,80
Dodô,Fiorentina,Fullback,Crosses,144
Dodô,Fiorentina,Fullback,Switches,10
Dodô,Fiorentina,Fullback,Through Balls,2
Dodô,Fiorentina,Fullback,Shot creating actions,75
Dodô,Fiorentina,Fullback,Tackles won,30
Dodô,Fiorentina,Fullback,Challenges won,NA
Dodô,Fiorentina,Fullback,Blocks,22
Dodô,Fiorentina,Fullback,Aerials won,12
Dodô,Fiorentina,Fullback,Ball recoveries,183
