Player Name,Club,Position,Metric,Value
Emerson,Flamengo,Fullback,NPG,0
Emerson,Flamengo,Fullback,NPXG,0.4
Emerson,Flamengo,Fullback,Assists,0
Emerson,Flamengo,Fullback,Passes attempted,909
Emerson,Flamengo,Fullback,Pass Completion,86.2
Emerson,Flamengo,Fullback,Yellow Cards,5
Emerson,Flamengo,Fullback,Red Cards,0
Emerson,Flamengo,Fullback,Progressive carries,23
Emerson,Flamengo,Fullback,Progressive Passes,68
Emerson,Flamengo,Fullback,Key passes,15
Emerson,Flamengo,Fullback,Passes into final third,44
Emerson,Flamengo,Fullback,Crosses,45
Emerson,Flamengo,Fullback,Switches,3
Emerson,Flamengo,Fullback,Through Balls,0
Emerson,Flamengo,Fullback,Shot creating actions,33
Emerson,Flamengo,Fullback,Tackles won,28
Emerson,Flamengo,Fullback,Challenges won,NA
Emerson,Flamengo,Fullback,Blocks,13
Emerson,Flamengo,Fullback,Aerials won,24
Emerson,Flamengo,Fullback,Ball recoveries,59
