Player Name,Club,Position,Metric,Value
Hans Hateboer,Rennes,Fullback,NPG,0
Hans Hateboer,Rennes,Fullback,NPXG,0.4
Hans Hateboer,Rennes,Fullback,Assists,0
Hans Hateboer,Rennes,Fullback,Passes attempted,1128
Hans Hateboer,Rennes,Fullback,Pass Completion,85.3
Hans Hateboer,Rennes,Fullback,Yellow Cards,3
Hans Hateboer,Rennes,Fullback,Red Cards,0
Hans Hateboer,Rennes,Fullback,Progressive carries,28
Hans Hateboer,Rennes,Fullback,Progressive Passes,92
Hans Hateboer,Rennes,Fullback,Key passes,15
Hans Hateboer,Rennes,Fullback,Passes into final third,75
Hans Hateboer,Rennes,Fullback,Crosses,33
Hans Hateboer,Rennes,Fullback,Switches,7
Hans Hateboer,Rennes,Fullback,Through Balls,0
Hans Hateboer,Rennes,Fullback,Shot creating actions,30
Hans Hateboer,Rennes,Fullback,Tackles won,16
Hans Hateboer,Rennes,Fullback,Challenges won,NA
Hans Hateboer,Rennes,Fullback,Blocks,19
Hans Hateboer,Rennes,Fullback,Aerials won,42
Hans Hateboer,Rennes,Fullback,Ball recoveries,62
