Player Name,Club,Position,Metric,Value
Jeremy Sarmiento,Cremonese,Fullback,NPG,4
Jeremy Sarmiento,Cremonese,Fullback,NPXG,3.1
Jeremy Sarmiento,Cremonese,Fullback,Assists,0
Jeremy Sarmiento,Cremonese,Fullback,Passes attempted,373
Jeremy Sarmiento,Cremonese,Fullback,Pass Completion,79.6
Jeremy Sarmiento,Cremonese,Fullback,Yellow Cards,4
Jeremy Sarmiento,Cremonese,Fullback,Red Cards,0
Jeremy Sarmiento,Cremonese,Fullback,Progressive carries,47
Jeremy Sarmiento,Cremonese,Fullback,Progressive Passes,38
Jeremy Sarmiento,Cremonese,Fullback,Key passes,11
Jeremy Sarmiento,Cremonese,Fullback,Passes into final third,32
Jeremy Sarmiento,Cremonese,Fullback,Crosses,17
Jeremy Sarmiento,Cremonese,Fullback,Switches,4
Jeremy Sarmiento,Cremonese,Fullback,Through Balls,3
Jeremy Sarmiento,Cremonese,Fullback,Shot creating actions,37
Jeremy Sarmiento,Cremonese,Fullback,Tackles won,21
Jeremy Sarmiento,Cremonese,Fullback,Challenges won,NA
Jeremy Sarmiento,Cremonese,Fullback,Blocks,13
Jeremy Sarmiento,Cremonese,Fullback,Aerials won,17
Jeremy Sarmiento,Cremonese,Fullback,Ball recoveries,45
