Player Name,Club,Position,Metric,Value
João Cancelo,Al-Hilal,Fullback,NPG,0
João Cancelo,Al-Hilal,Fullback,NPXG,NA
João Cancelo,Al-Hilal,Fullback,Assists,5
João Cancelo,Al-Hilal,Fullback,Passes attempted,NA
João Cancelo,Al-Hilal,Fullback,Pass Completion,NA
João Cancelo,Al-Hilal,Fullback,Yellow Cards,5
João Cancelo,Al-Hilal,Fullback,Red Cards,0
João Cancelo,Al-Hilal,Fullback,Progressive carries,NA
João Cancelo,Al-Hilal,Fullback,Progressive Passes,NA
João Cancelo,Al-Hilal,Fullback,Key passes,NA
João Cancelo,Al-Hilal,Fullback,Passes into final third,NA
João Cancelo,Al-Hilal,Fullback,Crosses,101
João Cancelo,Al-Hilal,Fullback,Switches,NA
João Cancelo,Al-Hilal,Fullback,Through Balls,NA
João Cancelo,Al-Hilal,Fullback,Shot creating actions,NA
João Cancelo,Al-Hilal,Fullback,Tackles won,39
João Cancelo,Al-Hilal,Fullback,Challenges won,NA
João Cancelo,Al-Hilal,Fullback,Blocks,NA
João Cancelo,Al-Hilal,Fullback,Aerials won,NA
João Cancelo,Al-Hilal,Fullback,Ball recoveries,NA
