Player Name,Club,Position,Metric,Value
Kelvin Leerdam,Unknown,Fullback,NPG,NA
Kelvin Leerdam,Unknown,Fullback,NPXG,NA
Kelvin Leerdam,Unknown,Fullback,Assists,0
Kelvin Leerdam,Unknown,Fullback,Passes attempted,NA
Kelvin Leerdam,Unknown,Fullback,Pass Completion,NA
Kelvin Leerdam,Unknown,Fullback,Yellow Cards,NA
Kelvin Leerdam,Unknown,Fullback,Red Cards,NA
Kelvin Leerdam,Unknown,Fullback,Progressive carries,NA
Kelvin Leerdam,Unknown,Fullback,Progressive Passes,NA
Kelvin Leerdam,Unknown,Fullback,Key passes,NA
Kelvin Leerdam,Unknown,Fullback,Passes into final third,NA
Kelvin Leerdam,Unknown,Fullback,Crosses,NA
Kelvin Leerdam,Unknown,Fullback,Switches,NA
Kelvin Leerdam,Unknown,Fullback,Through Balls,NA
Kelvin Leerdam,Unknown,Fullback,Shot creating actions,NA
Kelvin Leerdam,Unknown,Fullback,Tackles won,NA
Kelvin Leerdam,Unknown,Fullback,Challenges won,NA
Kelvin Leerdam,Unknown,Fullback,Blocks,NA
Kelvin Leerdam,Unknown,Fullback,Aerials won,NA
Kelvin Leerdam,Unknown,Fullback,Ball recoveries,NA
