Player Name,Club,Position,Metric,Value
Kieran Trippier,Newcastle United,Fullback,NPG,0
Kieran Trippier,Newcastle United,Fullback,NPXG,0.1
Kieran Trippier,Newcastle United,Fullback,Assists,0
Kieran Trippier,Newcastle United,Fullback,Passes attempted,1256
Kieran Trippier,Newcastle United,Fullback,Pass Completion,82.5
Kieran Trippier,Newcastle United,Fullback,Yellow Cards,0
Kieran Trippier,Newcastle United,Fullback,Red Cards,0
Kieran Trippier,Newcastle United,Fullback,Progressive carries,26
Kieran Trippier,Newcastle United,Fullback,Progressive Passes,117
Kieran Trippier,Newcastle United,Fullback,Key passes,22
Kieran Trippier,Newcastle United,Fullback,Passes into final third,70
Kieran Trippier,Newcastle United,Fullback,Crosses,82
Kieran Trippier,Newcastle United,Fullback,Switches,3
Kieran Trippier,Newcastle United,Fullback,Through Balls,3
Kieran Trippier,Newcastle United,Fullback,Shot creating actions,54
Kieran Trippier,Newcastle United,Fullback,Tackles won,21
Kieran Trippier,Newcastle United,Fullback,Challenges won,NA
Kieran Trippier,Newcastle United,Fullback,Blocks,11
Kieran Trippier,Newcastle United,Fullback,Aerials won,22
Kieran Trippier,Newcastle United,Fullback,Ball recoveries,68
