Player Name,Club,Position,Metric,Value
Kyle Walker,Burnley,Fullback,NPG,0
Kyle Walker,Burnley,Fullback,NPXG,0.1
Kyle Walker,Burnley,Fullback,Assists,0
Kyle Walker,Burnley,Fullback,Passes attempted,826
Kyle Walker,Burnley,Fullback,Pass Completion,87.7
Kyle Walker,Burnley,Fullback,Yellow Cards,3
Kyle Walker,Burnley,Fullback,Red Cards,0
Kyle Walker,Burnley,Fullback,Progressive carries,12
Kyle Walker,Burnley,Fullback,Progressive Passes,64
Kyle Walker,Burnley,Fullback,Key passes,7
Kyle Walker,Burnley,Fullback,Passes into final third,63
Kyle Walker,Burnley,Fullback,Crosses,14
Kyle Walker,Burnley,Fullback,Switches,7
Kyle Walker,Burnley,Fullback,Through Balls,2
Kyle Walker,Burnley,Fullback,Shot creating actions,17
Kyle Walker,Burnley,Fullback,Tackles won,10
Kyle Walker,Burnley,Fullback,Challenges won,NA
Kyle Walker,Burnley,Fullback,Blocks,13
Kyle Walker,Burnley,Fullback,Aerials won,9
Kyle Walker,Burnley,Fullback,Ball recoveries,46
