Player Name,Club,Position,Metric,Value
Leonardo Spinazzola,Napoli,Fullback,NPG,1
Leonardo Spinazzola,Napoli,Fullback,NPXG,0.7
Leonardo Spinazzola,Napoli,Fullback,Assists,1
Leonardo Spinazzola,Napoli,Fullback,Passes attempted,895
Leonardo Spinazzola,Napoli,Fullback,Pass Completion,79.3
Leonardo Spinazzola,Napoli,Fullback,Yellow Cards,1
Leonardo Spinazzola,Napoli,Fullback,Red Cards,0
Leonardo Spinazzola,Napoli,Fullback,Progressive carries,83
Leonardo Spinazzola,Napoli,Fullback,Progressive Passes,88
Leonardo Spinazzola,Napoli,Fullback,Key passes,26
Leonardo Spinazzola,Napoli,Fullback,Passes into final third,62
Leonardo Spinazzola,Napoli,Fullback,Crosses,65
Leonardo Spinazzola,Napoli,Fullback,Switches,5
Leonardo Spinazzola,Napoli,Fullback,Through Balls,3
Leonardo Spinazzola,Napoli,Fullback,Shot creating actions,47
Leonardo Spinazzola,Napoli,Fullback,Tackles won,10
Leonardo Spinazzola,Napoli,Fullback,Challenges won,NA
Leonardo Spinazzola,Napoli,Fullback,Blocks,12
Leonardo Spinazzola,Napoli,Fullback,Aerials won,3
Leonardo Spinazzola,Napoli,Fullback,Ball recoveries,62
