Player Name,Club,Position,Metric,Value
Mattia De Sciglio,Unknown,Fullback,NPG,1
Mattia De Sciglio,Unknown,Fullback,NPXG,0.6
Mattia De Sciglio,Unknown,Fullback,Assists,0
Mattia De Sciglio,Unknown,Fullback,Passes attempted,299
Mattia De Sciglio,Unknown,Fullback,Pass Completion,77.9
Mattia De Sciglio,Unknown,Fullback,Yellow Cards,0
Mattia De Sciglio,Unknown,Fullback,Red Cards,0
Mattia De Sciglio,Unknown,Fullback,Progressive carries,4
Mattia De Sciglio,Unknown,Fullback,Progressive Passes,18
Mattia De Sciglio,Unknown,Fullback,Key passes,3
Mattia De Sciglio,Unknown,Fullback,Passes into final third,12
Mattia De Sciglio,Unknown,Fullback,Crosses,7
Mattia De Sciglio,Unknown,Fullback,Switches,4
Mattia De Sciglio,Unknown,Fullback,Through Balls,0
Mattia De Sciglio,Unknown,Fullback,Shot creating actions,8
Mattia De Sciglio,Unknown,Fullback,Tackles won,13
Mattia De Sciglio,Unknown,Fullback,Challenges won,NA
Mattia De Sciglio,Unknown,Fullback,Blocks,10
Mattia De Sciglio,Unknown,Fullback,Aerials won,6
Mattia De Sciglio,Unknown,Fullback,Ball recoveries,27
