Player Name,Club,Position,Metric,Value
Matías Viña,Flamengo,Fullback,NPG,NA
Matías Viña,Flamengo,Fullback,NPXG,NA
Matías Viña,Flamengo,Fullback,Assists,NA
Matías Viña,Flamengo,Fullback,Passes attempted,NA
Matías Viña,Flamengo,Fullback,Pass Completion,NA
Matías Viña,Flamengo,Fullback,Yellow Cards,NA
Matías Viña,Flamengo,Fullback,Red Cards,NA
Matías Viña,Flamengo,Fullback,Progressive carries,NA
Matías Viña,Flamengo,Fullback,Progressive Passes,NA
Matías Viña,Flamengo,Fullback,Key passes,NA
Matías Viña,Flamengo,Fullback,Passes into final third,NA
Matías Viña,Flamengo,Fullback,Crosses,NA
Matías Viña,Flamengo,Fullback,Switches,NA
Matías Viña,Flamengo,Fullback,Through Balls,NA
Matías Viña,Flamengo,Fullback,Shot creating actions,NA
Matías Viña,Flamengo,Fullback,Tackles won,NA
Matías Viña,Flamengo,Fullback,Challenges won,NA
Matías Viña,Flamengo,Fullback,Blocks,NA
Matías Viña,Flamengo,Fullback,Aerials won,NA
Matías Viña,Flamengo,Fullback,Ball recoveries,NA
