Player Name,Club,Position,Metric,Value
Neco Williams,Nottingham Forest,Fullback,NPG,1
Neco Williams,Nottingham Forest,Fullback,NPXG,2.3
Neco Williams,Nottingham Forest,Fullback,Assists,3
Neco Williams,Nottingham Forest,Fullback,Passes attempted,1116
Neco Williams,Nottingham Forest,Fullback,Pass Completion,75.5
Neco Williams,Nottingham Forest,Fullback,Yellow Cards,7
Neco Williams,Nottingham Forest,Fullback,Red Cards,0
Neco Williams,Nottingham Forest,Fullback,Progressive carries,68
Neco Williams,Nottingham Forest,Fullback,Progressive Passes,89
Neco Williams,Nottingham Forest,Fullback,Key passes,18
Neco Williams,Nottingham Forest,Fullback,Passes into final third,69
Neco Williams,Nottingham Forest,Fullback,Crosses,59
Neco Williams,Nottingham Forest,Fullback,Switches,4
Neco Williams,Nottingham Forest,Fullback,Through Balls,1
Neco Williams,Nottingham Forest,Fullback,Shot creating actions,51
Neco Williams,Nottingham Forest,Fullback,Tackles won,57
Neco Williams,Nottingham Forest,Fullback,Challenges won,NA
Neco Williams,Nottingham Forest,Fullback,Blocks,42
Neco Williams,Nottingham Forest,Fullback,Aerials won,40
Neco Williams,Nottingham Forest,Fullback,Ball recoveries,110
