Player Name,Club,Position,Metric,Value
Noussair Mazraoui,Manchester United,Fullback,NPG,0
Noussair Mazraoui,Manchester United,Fullback,NPXG,0.7
Noussair Mazraoui,Manchester United,Fullback,Assists,1
Noussair Mazraoui,Manchester United,Fullback,Passes attempted,1781
Noussair Mazraoui,Manchester United,Fullback,Pass Completion,85.7
Noussair Mazraoui,Manchester United,Fullback,Yellow Cards,3
Noussair Mazraoui,Manchester United,Fullback,Red Cards,0
Noussair Mazraoui,Manchester United,Fullback,Progressive carries,42
Noussair Mazraoui,Manchester United,Fullback,Progressive Passes,115
Noussair Mazraoui,Manchester United,Fullback,Key passes,20
Noussair Mazraoui,Manchester United,Fullback,Passes into final third,125
Noussair Mazraoui,Manchester United,Fullback,Crosses,23
Noussair Mazraoui,Manchester United,Fullback,Switches,6
Noussair Mazraoui,Manchester United,Fullback,Through Balls,7
Noussair Mazraoui,Manchester United,Fullback,Shot creating actions,56
Noussair Mazraoui,Manchester United,Fullback,Tackles won,68
Noussair Mazraoui,Manchester United,Fullback,Challenges won,NA
Noussair Mazraoui,Manchester United,Fullback,Blocks,36
Noussair Mazraoui,Manchester United,Fullback,Aerials won,50
Noussair Mazraoui,Manchester United,Fullback,Ball recoveries,149
