Player Name,Club,Position,Metric,Value
Nuno Tavares,Lazio,Fullback,NPG,0
Nuno Tavares,Lazio,Fullback,NPXG,1.1
Nuno Tavares,Lazio,Fullback,Assists,8
Nuno Tavares,Lazio,Fullback,Passes attempted,1042
Nuno Tavares,Lazio,Fullback,Pass Completion,78.7
Nuno Tavares,Lazio,Fullback,Yellow Cards,4
Nuno Tavares,Lazio,Fullback,Red Cards,1
Nuno Tavares,Lazio,Fullback,Progressive carries,98
Nuno Tavares,Lazio,Fullback,Progressive Passes,111
Nuno Tavares,Lazio,Fullback,Key passes,33
Nuno Tavares,Lazio,Fullback,Passes into final third,69
Nuno Tavares,Lazio,Fullback,Crosses,126
Nuno Tavares,Lazio,Fullback,Switches,6
Nuno Tavares,Lazio,Fullback,Through Balls,2
Nuno Tavares,Lazio,Fullback,Shot creating actions,63
Nuno Tavares,Lazio,Fullback,Tackles won,21
Nuno Tavares,Lazio,Fullback,Challenges won,NA
Nuno Tavares,Lazio,Fullback,Blocks,21
Nuno Tavares,Lazio,Fullback,Aerials won,11
Nuno Tavares,Lazio,Fullback,Ball recoveries,104
