Player Name,Club,Position,Metric,Value
Pablo Maffeo,Mallorca,Fullback,NPG,0
Pablo Maffeo,Mallorca,Fullback,NPXG,0.3
Pablo Maffeo,Mallorca,Fullback,Assists,2
Pablo Maffeo,Mallorca,Fullback,Passes attempted,1039
Pablo Maffeo,Mallorca,Fullback,Pass Completion,70.8
Pablo Maffeo,Mallorca,Fullback,Yellow Cards,7
Pablo Maffeo,Mallorca,Fullback,Red Cards,0
Pablo Maffeo,Mallorca,Fullback,Progressive carries,46
Pablo Maffeo,Mallorca,Fullback,Progressive Passes,74
Pablo Maffeo,Mallorca,Fullback,Key passes,29
Pablo Maffeo,Mallorca,Fullback,Passes into final third,49
Pablo Maffeo,Mallorca,Fullback,Crosses,96
Pablo Maffeo,Mallorca,Fullback,Switches,2
Pablo Maffeo,Mallorca,Fullback,Through Balls,4
Pablo Maffeo,Mallorca,Fullback,Shot creating actions,60
Pablo Maffeo,Mallorca,Fullback,Tackles won,40
Pablo Maffeo,Mallorca,Fullback,Challenges won,NA
Pablo Maffeo,Mallorca,Fullback,Blocks,32
Pablo Maffeo,Mallorca,Fullback,Aerials won,21
Pablo Maffeo,Mallorca,Fullback,Ball recoveries,107
