Player Name,Club,Position,Metric,Value
Pedro Porro,Tottenham Hotspur,Fullback,NPG,2
Pedro Porro,Tottenham Hotspur,Fullback,NPXG,1.6
Pedro Porro,Tottenham Hotspur,Fullback,Assists,6
Pedro Porro,Tottenham Hotspur,Fullback,Passes attempted,1892
Pedro Porro,Tottenham Hotspur,Fullback,Pass Completion,73.2
Pedro Porro,Tottenham Hotspur,Fullback,Yellow Cards,5
Pedro Porro,Tottenham Hotspur,Fullback,Red Cards,0
Pedro Porro,Tottenham Hotspur,Fullback,Progressive carries,65
Pedro Porro,Tottenham Hotspur,Fullback,Progressive Passes,154
Pedro Porro,Tottenham Hotspur,Fullback,Key passes,57
Pedro Porro,Tottenham Hotspur,Fullback,Passes into final third,124
Pedro Porro,Tottenham Hotspur,Fullback,Crosses,196
Pedro Porro,Tottenham Hotspur,Fullback,Switches,16
Pedro Porro,Tottenham Hotspur,Fullback,Through Balls,4
Pedro Porro,Tottenham Hotspur,Fullback,Shot creating actions,108
Pedro Porro,Tottenham Hotspur,Fullback,Tackles won,49
Pedro Porro,Tottenham Hotspur,Fullback,Challenges won,NA
Pedro Porro,Tottenham Hotspur,Fullback,Blocks,44
Pedro Porro,Tottenham Hotspur,Fullback,Aerials won,12
Pedro Porro,Tottenham Hotspur,Fullback,Ball recoveries,152
