Player Name,Club,Position,Metric,Value
Reece James,Chelsea,Fullback,NPG,1
Reece James,Chelsea,Fullback,NPXG,0.4
Reece James,Chelsea,Fullback,Assists,1
Reece James,Chelsea,Fullback,Passes attempted,854
Reece James,Chelsea,Fullback,Pass Completion,84.0
Reece James,Chelsea,Fullback,Yellow Cards,1
Reece James,Chelsea,Fullback,Red Cards,0
Reece James,Chelsea,Fullback,Progressive carries,7
Reece James,Chelsea,Fullback,Progressive Passes,64
Reece James,Chelsea,Fullback,Key passes,11
Reece James,Chelsea,Fullback,Passes into final third,80
Reece James,Chelsea,Fullback,Crosses,43
Reece James,Chelsea,Fullback,Switches,2
Reece James,Chelsea,Fullback,Through Balls,4
Reece James,Chelsea,Fullback,Shot creating actions,18
Reece James,Chelsea,Fullback,Tackles won,9
Reece James,Chelsea,Fullback,Challenges won,NA
Reece James,Chelsea,Fullback,Blocks,14
Reece James,Chelsea,Fullback,Aerials won,23
Reece James,Chelsea,Fullback,Ball recoveries,66
