Player Name,Club,Position,Metric,Value
Sergi Roberto,Como,Fullback,NPG,0
Sergi Roberto,Como,Fullback,NPXG,0.7
Sergi Roberto,Como,Fullback,Assists,1
Sergi Roberto,Como,Fullback,Passes attempted,506
Sergi Roberto,Como,Fullback,Pass Completion,90.3
Sergi Roberto,Como,Fullback,Yellow Cards,4
Sergi Roberto,Como,Fullback,Red Cards,0
Sergi Roberto,Como,Fullback,Progressive carries,10
Sergi Roberto,Como,Fullback,Progressive Passes,36
Sergi Roberto,Como,Fullback,Key passes,15
Sergi Roberto,Como,Fullback,Passes into final third,28
Sergi Roberto,Como,Fullback,Crosses,6
Sergi Roberto,Como,Fullback,Switches,0
Sergi Roberto,Como,Fullback,Through Balls,2
Sergi Roberto,Como,Fullback,Shot creating actions,24
Sergi Roberto,Como,Fullback,Tackles won,8
Sergi Roberto,Como,Fullback,Challenges won,NA
Sergi Roberto,Como,Fullback,Blocks,7
Sergi Roberto,Como,Fullback,Aerials won,7
Sergi Roberto,Como,Fullback,Ball recoveries,48
