Player Name,Club,Position,Metric,Value
Sergiño Dest,PSV Eindhoven,Fullback,NPG,0
Sergiño Dest,PSV Eindhoven,Fullback,NPXG,0.2
Sergiño Dest,PSV Eindhoven,Fullback,Assists,1
Sergiño Dest,PSV Eindhoven,Fullback,Passes attempted,256
Sergiño Dest,PSV Eindhoven,Fullback,Pass Completion,90.2
Sergiño Dest,PSV Eindhoven,Fullback,Yellow Cards,0
Sergiño Dest,PSV Eindhoven,Fullback,Red Cards,0
Sergiño Dest,PSV Eindhoven,Fullback,Progressive carries,15
Sergiño Dest,PSV Eindhoven,Fullback,Progressive Passes,29
Sergiño Dest,PSV Eindhoven,Fullback,Key passes,4
Sergiño Dest,PSV Eindhoven,Fullback,Passes into final third,15
Sergiño Dest,PSV Eindhoven,Fullback,Crosses,9
Sergiño Dest,PSV Eindhoven,Fullback,Switches,1
Sergiño Dest,PSV Eindhoven,Fullback,Through Balls,0
Sergiño Dest,PSV Eindhoven,Fullback,Shot creating actions,12
Sergiño Dest,PSV Eindhoven,Fullback,Tackles won,6
Sergiño Dest,PSV Eindhoven,Fullback,Challenges won,NA
Sergiño Dest,PSV Eindhoven,Fullback,Blocks,2
Sergiño Dest,PSV Eindhoven,Fullback,Aerials won,0
Sergiño Dest,PSV Eindhoven,Fullback,Ball recoveries,18
