Player Name,Club,Position,Metric,Value
Tariq Lamptey,Fiorentina,Fullback,NPG,2
Tariq Lamptey,Fiorentina,Fullback,NPXG,0.4
Tariq Lamptey,Fiorentina,Fullback,Assists,2
Tariq Lamptey,Fiorentina,Fullback,Passes attempted,413
Tariq Lamptey,Fiorentina,Fullback,Pass Completion,81.1
Tariq Lamptey,Fiorentina,Fullback,Yellow Cards,0
Tariq Lamptey,Fiorentina,Fullback,Red Cards,0
Tariq Lamptey,Fiorentina,Fullback,Progressive carries,32
Tariq Lamptey,Fiorentina,Fullback,Progressive Passes,14
Tariq Lamptey,Fiorentina,Fullback,Key passes,5
Tariq Lamptey,Fiorentina,Fullback,Passes into final third,12
Tariq Lamptey,Fiorentina,Fullback,Crosses,28
Tariq Lamptey,Fiorentina,Fullback,Switches,1
Tariq Lamptey,Fiorentina,Fullback,Through Balls,0
Tariq Lamptey,Fiorentina,Fullback,Shot creating actions,17
Tariq Lamptey,Fiorentina,Fullback,Tackles won,11
Tariq Lamptey,Fiorentina,Fullback,Challenges won,NA
Tariq Lamptey,Fiorentina,Fullback,Blocks,15
Tariq Lamptey,Fiorentina,Fullback,Aerials won,1
Tariq Lamptey,Fiorentina,Fullback,Ball recoveries,39
