Player Name,Club,Position,Metric,Value
Timothy Castagne,Fulham,Fullback,NPG,0
Timothy Castagne,Fulham,Fullback,NPXG,0.4
Timothy Castagne,Fulham,Fullback,Assists,1
Timothy Castagne,Fulham,Fullback,Passes attempted,953
Timothy Castagne,Fulham,Fullback,Pass Completion,81.8
Timothy Castagne,Fulham,Fullback,Yellow Cards,1
Timothy Castagne,Fulham,Fullback,Red Cards,0
Timothy Castagne,Fulham,Fullback,Progressive carries,17
Timothy Castagne,Fulham,Fullback,Progressive Passes,62
Timothy Castagne,Fulham,Fullback,Key passes,9
Timothy Castagne,Fulham,Fullback,Passes into final third,51
Timothy Castagne,Fulham,Fullback,Crosses,37
Timothy Castagne,Fulham,Fullback,Switches,1
Timothy Castagne,Fulham,Fullback,Through Balls,0
Timothy Castagne,Fulham,Fullback,Shot creating actions,25
Timothy Castagne,Fulham,Fullback,Tackles won,29
Timothy Castagne,Fulham,Fullback,Challenges won,NA
Timothy Castagne,Fulham,Fullback,Blocks,15
Timothy Castagne,Fulham,Fullback,Aerials won,34
Timothy Castagne,Fulham,Fullback,Ball recoveries,57
