Player Name,Club,Position,Metric,Value
Antony,Real Betis,CAM_Winger,Goals,0
Antony,Real Betis,CAM_Winger,Assists,0
Antony,Real Betis,CAM_Winger,NPG,0
Antony,Real Betis,CAM_Winger,XG,1.0
Antony,Real Betis,CAM_Winger,XA,0.1
Antony,Real Betis,CAM_Winger,Progressive passes,6
Antony,Real Betis,CAM_Winger,Progressive carries,5
Antony,Real Betis,CAM_Winger,Passes completed,56
Antony,Real Betis,CAM_Winger,Passes attempted,69
Antony,Real Betis,CAM_Winger,Key passes,3
Antony,Real Betis,CAM_Winger,Through balls,0
Antony,Real Betis,CAM_Winger,Switches,0
Antony,Real Betis,CAM_Winger,Crosses,5
Antony,Real Betis,CAM_Winger,Corners,0
Antony,Real Betis,CAM_Winger,Shot creating Actions,8
Antony,Real Betis,CAM_Winger,SCA Take Ons,1
Antony,Real Betis,CAM_Winger,GCA Shots,0
Antony,Real Betis,CAM_Winger,Goal Creating Actions,0
Antony,Real Betis,CAM_Winger,Tackles,6
Antony,Real Betis,CAM_Winger,Dribblers tackles,NA
Antony,Real Betis,CAM_Winger,Shots blocked,0
Antony,Real Betis,CAM_Winger,Blocks,2
Antony,Real Betis,CAM_Winger,Interceptions,2
Antony,Real Betis,CAM_Winger,Passes Recieved,69
Antony,Real Betis,CAM_Winger,Offsides,0
Antony,Real Betis,CAM_Winger,Ball recoveries,11
Antony,Real Betis,CAM_Winger,Errors,0
Antony,Real Betis,CAM_Winger,Touches,101
Antony,Real Betis,CAM_Winger,Miscontrols,5
Antony,Real Betis,CAM_Winger,Dispossessed,1
Antony,Real Betis,CAM_Winger,Yellow Cards,0
Antony,Real Betis,CAM_Winger,Red Cards,0
Antony,Real Betis,CAM_Winger,Fouls committed,2
Antony,Real Betis,CAM_Winger,Aerials Won,0
