Player Name,Club,Position,Metric,Value
Ángel Di María,Rosario Central,CAM_Winger,Goals,8
Ángel Di María,Rosario Central,CAM_Winger,Assists,5
Ángel Di María,Rosario Central,CAM_Winger,NPG,3
Ángel Di María,Rosario Central,CAM_Winger,XG,8.9
Ángel Di María,Rosario Central,CAM_Winger,XA,5.2
Ángel Di María,Rosario Central,CAM_Winger,Progressive passes,160
Ángel Di María,Rosario Central,CAM_Winger,Progressive carries,70
Ángel Di María,Rosario Central,CAM_Winger,Passes completed,684
Ángel Di María,Rosario Central,CAM_Winger,Passes attempted,970
Ángel Di María,Rosario Central,CAM_Winger,Key passes,45
Ángel Di María,Rosario Central,CAM_Winger,Through balls,19
Ángel Di María,Rosario Central,CAM_Winger,Switches,21
Ángel Di María,Rosario Central,CAM_Winger,Crosses,133
Ángel Di María,Rosario Central,CAM_Winger,Corners,60
Ángel Di María,Rosario Central,CAM_Winger,Shot creating Actions,90
Ángel Di María,Rosario Central,CAM_Winger,SCA Take Ons,8
Ángel Di María,Rosario Central,CAM_Winger,GCA Shots,1
Ángel Di María,Rosario Central,CAM_Winger,Goal Creating Actions,12
Ángel Di María,Rosario Central,CAM_Winger,Tackles,16
Ángel Di María,Rosario Central,CAM_Winger,Dribblers tackles,NA
Ángel Di María,Rosario Central,CAM_Winger,Shots blocked,0
Ángel Di María,Rosario Central,CAM_Winger,Blocks,13
Ángel Di María,Rosario Central,CAM_Winger,Interceptions,8
Ángel Di María,Rosario Central,CAM_Winger,Passes Recieved,905
Ángel Di María,Rosario Central,CAM_Winger,Offsides,10
Ángel Di María,Rosario Central,CAM_Winger,Ball recoveries,76
Ángel Di María,Rosario Central,CAM_Winger,Errors,0
Ángel Di María,Rosario Central,CAM_Winger,Touches,1203
Ángel Di María,Rosario Central,CAM_Winger,Miscontrols,38
Ángel Di María,Rosario Central,CAM_Winger,Dispossessed,18
Ángel Di María,Rosario Central,CAM_Winger,Yellow Cards,5
Ángel Di María,Rosario Central,CAM_Winger,Red Cards,0
Ángel Di María,Rosario Central,CAM_Winger,Fouls committed,17
Ángel Di María,Rosario Central,CAM_Winger,Aerials Won,0
