Player Name,Club,Position,Metric,Value
Bukayo Saka,Arsenal,CAM_Winger,Goals,6
Bukayo Saka,Arsenal,CAM_Winger,Assists,10
Bukayo Saka,Arsenal,CAM_Winger,NPG,5
Bukayo Saka,Arsenal,CAM_Winger,XG,6.8
Bukayo Saka,Arsenal,CAM_Winger,XA,7.6
Bukayo Saka,Arsenal,CAM_Winger,Progressive passes,70
Bukayo Saka,Arsenal,CAM_Winger,Progressive carries,96
Bukayo Saka,Arsenal,CAM_Winger,Passes completed,552
Bukayo Saka,Arsenal,CAM_Winger,Passes attempted,731
Bukayo Saka,Arsenal,CAM_Winger,Key passes,58
Bukayo Saka,Arsenal,CAM_Winger,Through balls,4
Bukayo Saka,Arsenal,CAM_Winger,Switches,2
Bukayo Saka,Arsenal,CAM_Winger,Crosses,117
Bukayo Saka,Arsenal,CAM_Winger,Corners,64
Bukayo Saka,Arsenal,CAM_Winger,Shot creating Actions,117
Bukayo Saka,Arsenal,CAM_Winger,SCA Take Ons,12
Bukayo Saka,Arsenal,CAM_Winger,GCA Shots,1
Bukayo Saka,Arsenal,CAM_Winger,Goal Creating Actions,23
Bukayo Saka,Arsenal,CAM_Winger,Tackles,29
Bukayo Saka,Arsenal,CAM_Winger,Dribblers tackles,NA
Bukayo Saka,Arsenal,CAM_Winger,Shots blocked,0
Bukayo Saka,Arsenal,CAM_Winger,Blocks,22
Bukayo Saka,Arsenal,CAM_Winger,Interceptions,3
Bukayo Saka,Arsenal,CAM_Winger,Passes Recieved,711
Bukayo Saka,Arsenal,CAM_Winger,Offsides,7
Bukayo Saka,Arsenal,CAM_Winger,Ball recoveries,70
Bukayo Saka,Arsenal,CAM_Winger,Errors,0
Bukayo Saka,Arsenal,CAM_Winger,Touches,979
Bukayo Saka,Arsenal,CAM_Winger,Miscontrols,34
Bukayo Saka,Arsenal,CAM_Winger,Dispossessed,40
Bukayo Saka,Arsenal,CAM_Winger,Yellow Cards,3
Bukayo Saka,Arsenal,CAM_Winger,Red Cards,0
Bukayo Saka,Arsenal,CAM_Winger,Fouls committed,15
Bukayo Saka,Arsenal,CAM_Winger,Aerials Won,10
