Player Name,Club,Position,Metric,Value
Ismaila Sarr,Crystal Palace,CAM_Winger,Goals,8
Ismaila Sarr,Crystal Palace,CAM_Winger,Assists,6
Ismaila Sarr,Crystal Palace,CAM_Winger,NPG,8
Ismaila Sarr,Crystal Palace,CAM_Winger,XG,10.7
Ismaila Sarr,Crystal Palace,CAM_Winger,XA,8.5
Ismaila Sarr,Crystal Palace,CAM_Winger,Progressive passes,85
Ismaila Sarr,Crystal Palace,CAM_Winger,Progressive carries,75
Ismaila Sarr,Crystal Palace,CAM_Winger,Passes completed,490
Ismaila Sarr,Crystal Palace,CAM_Winger,Passes attempted,742
Ismaila Sarr,Crystal Palace,CAM_Winger,Key passes,44
Ismaila Sarr,Crystal Palace,CAM_Winger,Through balls,13
Ismaila Sarr,Crystal Palace,CAM_Winger,Switches,1
Ismaila Sarr,Crystal Palace,CAM_Winger,Crosses,55
Ismaila Sarr,Crystal Palace,CAM_Winger,Corners,0
Ismaila Sarr,Crystal Palace,CAM_Winger,Shot creating Actions,110
Ismaila Sarr,Crystal Palace,CAM_Winger,SCA Take Ons,6
Ismaila Sarr,Crystal Palace,CAM_Winger,GCA Shots,0
Ismaila Sarr,Crystal Palace,CAM_Winger,Goal Creating Actions,12
Ismaila Sarr,Crystal Palace,CAM_Winger,Tackles,22
Ismaila Sarr,Crystal Palace,CAM_Winger,Dribblers tackles,NA
Ismaila Sarr,Crystal Palace,CAM_Winger,Shots blocked,8
Ismaila Sarr,Crystal Palace,CAM_Winger,Blocks,27
Ismaila Sarr,Crystal Palace,CAM_Winger,Interceptions,9
Ismaila Sarr,Crystal Palace,CAM_Winger,Passes Recieved,739
Ismaila Sarr,Crystal Palace,CAM_Winger,Offsides,11
Ismaila Sarr,Crystal Palace,CAM_Winger,Ball recoveries,113
Ismaila Sarr,Crystal Palace,CAM_Winger,Errors,0
Ismaila Sarr,Crystal Palace,CAM_Winger,Touches,1091
Ismaila Sarr,Crystal Palace,CAM_Winger,Miscontrols,70
Ismaila Sarr,Crystal Palace,CAM_Winger,Dispossessed,43
Ismaila Sarr,Crystal Palace,CAM_Winger,Yellow Cards,4
Ismaila Sarr,Crystal Palace,CAM_Winger,Red Cards,0
Ismaila Sarr,Crystal Palace,CAM_Winger,Fouls committed,14
Ismaila Sarr,Crystal Palace,CAM_Winger,Aerials Won,37
