Player Name,Club,Position,Metric,Value
Leon Bailey,Roma,CAM_Winger,Goals,1
Leon Bailey,Roma,CAM_Winger,Assists,2
Leon Bailey,Roma,CAM_Winger,NPG,1
Leon Bailey,Roma,CAM_Winger,XG,1.7
Leon Bailey,Roma,CAM_Winger,XA,1.5
Leon Bailey,Roma,CAM_Winger,Progressive passes,35
Leon Bailey,Roma,CAM_Winger,Progressive carries,58
Leon Bailey,Roma,CAM_Winger,Passes completed,277
Leon Bailey,Roma,CAM_Winger,Passes attempted,390
Leon Bailey,Roma,CAM_Winger,Key passes,16
Leon Bailey,Roma,CAM_Winger,Through balls,5
Leon Bailey,Roma,CAM_Winger,Switches,1
Leon Bailey,Roma,CAM_Winger,Crosses,34
Leon Bailey,Roma,CAM_Winger,Corners,17
Leon Bailey,Roma,CAM_Winger,Shot creating Actions,38
Leon Bailey,Roma,CAM_Winger,SCA Take Ons,8
Leon Bailey,Roma,CAM_Winger,GCA Shots,0
Leon Bailey,Roma,CAM_Winger,Goal Creating Actions,4
Leon Bailey,Roma,CAM_Winger,Tackles,7
Leon Bailey,Roma,CAM_Winger,Dribblers tackles,NA
Leon Bailey,Roma,CAM_Winger,Shots blocked,0
Leon Bailey,Roma,CAM_Winger,Blocks,6
Leon Bailey,Roma,CAM_Winger,Interceptions,3
Leon Bailey,Roma,CAM_Winger,Passes Recieved,390
Leon Bailey,Roma,CAM_Winger,Offsides,3
Leon Bailey,Roma,CAM_Winger,Ball recoveries,59
Leon Bailey,Roma,CAM_Winger,Errors,0
Leon Bailey,Roma,CAM_Winger,Touches,545
Leon Bailey,Roma,CAM_Winger,Miscontrols,35
Leon Bailey,Roma,CAM_Winger,Dispossessed,25
Leon Bailey,Roma,CAM_Winger,Yellow Cards,3
Leon Bailey,Roma,CAM_Winger,Red Cards,0
Leon Bailey,Roma,CAM_Winger,Fouls committed,12
Leon Bailey,Roma,CAM_Winger,Aerials Won,6
