Player Name,Club,Position,Metric,Value
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Goals,5
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Assists,3
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,NPG,5
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,XG,6.9
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,XA,3.1
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Progressive passes,79
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Progressive carries,98
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Passes completed,715
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Passes attempted,855
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Key passes,31
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Through balls,2
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Switches,13
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Crosses,81
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Corners,1
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Shot creating Actions,107
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,SCA Take Ons,16
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,GCA Shots,3
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Goal Creating Actions,10
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Tackles,38
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Dribblers tackles,NA
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Shots blocked,1
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Blocks,24
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Interceptions,4
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Passes Recieved,989
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Offsides,18
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Ball recoveries,138
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Errors,2
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Touches,1274
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Miscontrols,77
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Dispossessed,93
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Yellow Cards,2
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Red Cards,1
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Fouls committed,39
Mohammed Kudus,Tottenham Hotspur,CAM_Winger,Aerials Won,11
